Id_Ente;Latitudine;Longitudine;TipologiaSoggetti;Codifica;CategoriaEnte;SottoCategoriaEnte;DenominazioneEnte;Indirizzo;Cap;Comune;Socio_1;Socio_2;Socio_3
17039;40,9149;14,7977;Imprese pubbliche locali;c;021 - Consorzi e Forme associative;0211 - Forme associative di livello regionale;A.T.O. 1 Calore Irpino;VIA SEMINARIO CASA DELLA CULTURA - VICTOR HUGO;83100;AVELLINO;COMUNE DI BENEVENTO 8,22%;COMUNE DI AVELLINO 7,25%;COMUNE DI ARIANO IRPINO 3,01%
17105;41,0102;15,357;Imprese pubbliche locali;c;021 - Consorzi e Forme associative;0212 - Forme associative di livello sub-regionale;Consorzio Irpino per la Promozione della Cultura, della Ricerca e degli Studi Universitari - Avellin;PIAZZA XXIII NOVEMBRE;83100;AVELLINO;COMUNE DI AVELLINO 42,55%;PROVINCIA DI AVELLINO 40,49%;COMUNE DI ATRIPALDA 8,51%
19908;40,716;14,9413;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0392 - Societa e fondazioni a partecipazione sub-regionale;Azienda del Cittadino Multiservice S.r.l.;Via Viglidonica, 30;84095;GIFFONI VALLE PIANA;COMUNE DI GIFFONI VALLE PIANA 100%;;
19913;40,8957;14,2909;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0392 - Societa e fondazioni a partecipazione sub-regionale;Casoria Ambiente S.p.A.;Via VIII Traversa Circumvallazione Esterna, 7;80026;Casoria;COMUNE DI CASORIA 100%;;
27901;40,7056;14,7023;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0392 - Societa e fondazioni a partecipazione sub-regionale;METELLIA SERVIZI S.R.L. SOCIETA' UNIPERSONALE IN SIGLA ME.SE. S.R.L.;viale guglielmo marconi, 52;84013;Cava de' Tirreni;COMUNE DI CAVA DE' TIRRENI 100%;;
28662;41,0795;14,3374;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0392 - Societa e fondazioni a partecipazione sub-regionale;ECOATELLANA MULTISERVIZI S.R.L. SOCIETA' UNIPERSONALE;VIA GEMITO, 16;81030;CASERTA;COMUNE DI SANT'ARPINO 100%;;
28671;41,2337;13,9334;Imprese pubbliche locali;c;021 - Consorzi e Forme associative;0212 - Forme associative di livello sub-regionale;"PARCO REGIONALE ""ROCCAMONFINA - FOCE DEL GARIGLIANO";via San Domenico;81037;SESSA AURUNCA;REGIONE CAMPANIA 100%;;
29030;40,9078;14,2786;Amministrazioni Locali;a;019 - Enti dipendenti;0192 - Enti dipendenti di livello sub-regionale;Consorzio Cimiteriale Tra I Comuni di Casoria Arzano Casavatore;Via Porziano;80022;Arzano;COMUNE DI CASORIA;COMUNE DI ARZANO;COMUNE DI CASAVATORE
28672;40,9489;14,7439;Imprese pubbliche locali;c;021 - Consorzi e Forme associative;0212 - Forme associative di livello sub-regionale;ENTE PARCO REGIONALE PARTENIO;Via Borgonuovo, 25-27;83010;Summonte;REGIONE CAMPANIA 100%;;
17163;40,8322;14,2491;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0391 - Societa e fondazioni a partecipazione regionale;SCABEC S.r.l. - Societa Campana Beni Culturali;VIA SANTA LUCIA, 81;80132;Napoli;REGIONE CAMPANIA 100%;;
28673;41,1491;14,6384;Imprese pubbliche locali;c;021 - Consorzi e Forme associative;0212 - Forme associative di livello sub-regionale;ENTE PARCO REGIONALE TABURNO CAMPOSAURO;P.zza VITTORIO VENETO;82030;Cautano;REGIONE CAMPANIA 100%;;
17164;40,857;14,2767;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0391 - Societa e fondazioni a partecipazione regionale;SMA CAMPANIA S.p.A. - Sistemi per la Meteorologia e l'Ambiente;via porzio, 5,;80143;Napoli;REGIONE CAMPANIA 100%;;
28674;40,6503;15,2362;Imprese pubbliche locali;c;021 - Consorzi e Forme associative;0212 - Forme associative di livello sub-regionale;ENTE RISERVA NATURALE FOCE SELE TANAGRO-MONTI EREMITA MARZANO;via Carlo Alberto, 16;84024;Contursi Terme;REGIONE CAMPANIA 100%;;
