COMUNE;EURO 0;EURO 1;EURO 2;EURO 3;EURO 4;EURO 5;EURO 6;TOTALE
AIELLO DEL SABATO;218;73;260;389;782;397;304;2.424
ALTAVILLA IRPINA;340;77;284;357;670;312;236;2.277
ANDRETTA;176;55;179;229;318;155;80;1.194
AQUILONIA;113;47;160;196;256;112;69;953
ARIANO IRPINO;1.769;565;2.010;2.502;4.302;2.024;1.320;14.501
ATRIPALDA;969;227;726;1.091;1.966;985;772;6.740
AVELLA;733;183;630;777;1.480;765;522;5.092
AVELLINO;4.024;983;3.540;4.977;9.874;5.744;4.899;34.054
BAGNOLI IRPINO;163;62;269;322;625;287;172;1.902
BAIANO;462;106;332;445;872;439;329;2.988
BISACCIA;205;75;309;435;703;370;253;2.351
BONITO;268;78;229;317;452;217;95;1.656
CAIRANO;28;13;36;47;51;26;7;208
CALABRITTO;239;71;197;259;386;165;78;1.395
CALITRI;392;147;511;539;774;386;261;3.010
CANDIDA;62;15;71;117;178;101;54;599
CAPOSELE;403;138;357;402;667;345;147;2.460
CAPRIGLIA IRPINA;155;48;161;252;444;234;184;1.478
CARIFE;114;32;130;145;224;103;62;811
CASALBORE;214;70;184;201;288;137;83;1.179
CASSANO IRPINO;81;34;89;139;194;83;42;662
CASTEL BARONIA;86;38;106;142;194;137;67;771
CASTELFRANCI;183;58;169;213;357;151;86;1.217
CASTELVETERE SUL CALORE;103;28;131;161;257;169;107;956
CERVINARA;863;229;723;884;1.641;899;558;5.798
CESINALI;150;53;177;257;542;271;184;1.634
CHIANCHE;49;15;48;51;108;45;39;356
CHIUSANO DI SAN DOMENICO;160;47;171;226;410;197;145;1.356
CONTRADA;255;65;236;298;542;262;165;1.823
CONZA DELLA CAMPANIA;118;41;134;145;265;120;67;890
DOMICELLA;243;53;200;218;455;234;126;1.530
FLUMERI;234;73;258;342;521;234;138;1.800
FONTANAROSA;224;85;241;347;491;276;150;1.814
FORINO;385;102;403;505;839;408;323;2.966
FRIGENTO;286;127;344;515;763;370;196;2.602
GESUALDO;327;120;343;469;673;391;182;2.505
GRECI;84;23;53;69;113;52;44;438
GROTTAMINARDA;788;217;749;968;1.509;740;484;5.458
GROTTOLELLA;149;40;140;172;342;180;137;1.161
GUARDIA LOMBARDI;138;39;163;210;318;152;97;1.118
LACEDONIA;172;59;197;280;350;227;147;1.432
LAPIO;77;33;110;143;245;141;94;843
LAURO;512;108;285;374;685;362;244;2.571
LIONI;639;229;649;833;1.181;589;316;4.438
LUOGOSANO;92;30;93;118;194;90;54;671
MANOCALZATI;222;67;232;331;652;321;249;2.075
MARZANO DI NOLA;247;63;164;216;359;175;100;1.324
MELITO IRPINO;165;60;189;222;338;142;83;1.199
MERCOGLIANO;928;230;814;1.104;2.336;1.351;1.252;8.024
MIRABELLA ECLANO;700;187;602;832;1.367;732;479;4.900
MONTAGUTO;48;17;43;33;66;40;25;272
MONTECALVO IRPINO;378;112;349;413;597;291;201;2.341
MONTEFALCIONE;202;74;232;343;582;296;224;1.954
MONTEFORTE IRPINO;738;221;771;1.155;2.264;1.283;1.102;7.536
MONTEFREDANE;164;54;146;222;443;235;144;1.409
MONTEFUSCO;139;37;123;146;267;120;79;911
MONTELLA;442;176;625;854;1.253;603;362;4.316
MONTEMARANO;265;81;277;286;520;258;151;1.838
MONTEMILETTO;533;107;414;615;975;502;346;3.492
MONTEVERDE;52;9;50;61;112;52;34;370
MONTORO;2.070;597;1.928;2.070;3.423;1.615;1.172;12.881
MORRA DE SANCTIS;108;36;114;131;224;114;84;811
MOSCHIANO;271;56;147;146;273;116;87;1.096
MUGNANO DEL CARDINALE;609;120;352;442;922;536;402;3.384
NUSCO;329;102;370;495;795;373;213;2.679
OSPEDALETTO D'ALPINOLO;137;45;135;171;405;201;170;1.264
PAGO DEL VALLO DI LAURO;287;52;197;181;422;194;91;1.426
PAROLISE;40;13;36;64;129;52;53;387
PATERNOPOLI;158;51;182;240;412;211;167;1.421
PETRURO IRPINO;9;3;18;24;43;17;18;132
PIETRADEFUSI;186;40;191;218;428;187;140;1.390
PIETRASTORNINA;122;38;131;166;323;125;119;1.024
PRATA DI PRINCIPATO ULTRA;220;55;214;303;503;216;151;1.662
PRATOLA SERRA;257;73;220;379;694;356;505;2.486
QUADRELLE;147;46;140;171;383;194;134;1.218
QUINDICI;459;84;213;217;374;185;119;1.655
ROCCA SAN FELICE;84;35;96;115;162;72;44;609
ROCCABASCERANA;245;57;220;231;491;203;156;1.604
ROTONDI;293;84;303;389;706;355;246;2.377
SALZA IRPINA;56;23;55;71;146;71;44;466
SAN MANGO SUL CALORE;84;26;98;119;205;113;75;720
SAN MARTINO VALLE CAUDINA;646;147;424;544;1.043;488;272;3.565
SAN MICHELE DI SERINO;177;53;193;242;478;228;154;1.526
SAN NICOLA BARONIA;51;26;72;91;128;47;48;463
SAN POTITO ULTRA;107;26;84;144;276;161;123;921
SAN SOSSIO BARONIA;145;63;183;204;293;132;63;1.083
SANTA LUCIA DI SERINO;82;22;91;118;256;151;85;805
SANTA PAOLINA;115;16;110;138;220;106;58;763
SANT'ANDREA DI CONZA;108;32;121;133;238;102;82;816
SANT'ANGELO A SCALA;60;12;77;98;140;67;55;509
SANT'ANGELO ALL'ESCA;62;30;70;82;139;52;34;469
SANT'ANGELO DEI LOMBARDI;425;126;422;502;798;445;264;2.983
SANTO STEFANO DEL SOLE;172;56;194;218;392;186;134;1.352
SAVIGNANO IRPINO;115;35;98;117;195;92;51;703
SCAMPITELLA;62;19;113;141;213;97;58;703
SENERCHIA;178;47;98;86;122;82;37;650
SERINO;586;201;575;594;1.237;565;385;4.143
SIRIGNANO;227;64;206;315;625;323;257;2.018
SOLOFRA;858;240;938;1.253;2.097;1.373;936;7.699
SORBO SERPICO;59;12;58;66;115;70;39;419
SPERONE;314;96;306;350;692;379;298;2.437
STURNO;229;77;285;391;591;330;156;2.059
SUMMONTE;126;43;115;168;308;157;111;1.028
TAURANO;252;59;141;153;291;125;82;1.104
TAURASI;219;60;158;232;427;169;134;1.399
TEORA;109;54;147;197;286;138;73;1.004
TORELLA DEI LOMBARDI;168;67;214;252;384;165;82;1.332
TORRE LE NOCELLE;89;29;124;151;261;104;92;851
TORRIONI;50;9;46;58;73;42;24;302
TREVICO;82;22;83;106;161;112;41;607
TUFO;69;15;49;76;135;87;48;480
VALLATA;161;60;215;294;437;240;141;1.548
VALLESACCARDA;150;34;92;137;210;140;70;833
VENTICANO;179;57;213;247;469;257;184;1.606
VILLAMAINA;73;26;97;98;162;90;44;592
VILLANOVA DEL BATTISTA;111;36;147;193;304;117;79;987
VOLTURARA IRPINA;294;111;266;284;427;211;173;1.766
ZUNGOLI;57;28;100;115;177;107;55;639
