COMUNE;EURO 0;EURO 1;EURO 2;EURO 3;EURO 4;EURO 5;EURO 6;TOTALE
AIROLA;561;179;595;834;1.611;786;568;5.140
AMOROSI;265;67;254;338;570;263;187;1.944
APICE;488;168;483;660;1.049;496;320;3.665
APOLLOSA;175;75;224;308;498;221;172;1.674
ARPAIA;141;56;155;249;415;215;122;1.355
ARPAISE;78;20;65;96;200;87;53;599
BASELICE;152;51;241;228;439;157;83;1.351
BENEVENTO;4.051;1.037;4.146;6.195;11.774;6.088;4.841;38.161
BONEA;165;42;149;159;266;123;78;982
BUCCIANO;162;37;156;227;357;220;120;1.281
BUONALBERGO;120;54;165;223;302;164;97;1.125
CALVI;244;76;217;341;476;220;165;1.740
CAMPOLATTARO;77;21;97;125;174;98;66;659
CAMPOLI DEL MONTE TABURNO;147;36;147;194;289;152;75;1.040
CASALDUNI;189;36;153;148;227;80;68;902
CASTELFRANCO IN MISCANO;61;31;79;100;155;66;39;531
CASTELPAGANO;113;66;193;166;224;85;53;900
CASTELPOTO;74;33;100;135;207;82;59;690
CASTELVENERE;230;55;274;316;505;219;185;1.785
CASTELVETERE VAL FORTORE;80;36;116;110;159;92;60;653
CAUTANO;220;83;222;272;377;151;82;1.408
CEPPALONI;296;88;325;435;716;338;247;2.447
CERRETO SANNITA;386;115;389;433;696;326;253;2.601
CIRCELLO;247;85;256;270;412;171;127;1.570
COLLE SANNITA;231;103;332;310;440;169;88;1.673
CUSANO MUTRI;499;198;411;431;778;320;242;2.881
DUGENTA;204;72;207;324;545;294;177;1.824
DURAZZANO;160;48;210;259;466;197;110;1.450
FAICCHIO;389;125;386;465;600;326;253;2.547
FOGLIANISE;417;102;361;444;644;272;200;2.443
FOIANO DI VAL FORTORE;109;51;138;157;243;88;60;847
FORCHIA;94;54;127;163;300;154;83;976
FRAGNETO L'ABATE;84;39;104;105;155;69;58;614
FRAGNETO MONFORTE;123;38;167;185;319;132;112;1.078
FRASSO TELESINO;219;68;233;264;432;193;114;1.527
GINESTRA DEGLI SCHIAVONI;29;11;42;54;55;22;24;237
GUARDIA SANFRAMONDI;501;137;551;672;878;391;231;3.363
LIMATOLA;326;122;409;572;963;516;332;3.243
MELIZZANO;237;83;223;250;410;174;132;1.511
MOIANO;334;85;291;471;703;415;215;2.519
MOLINARA;72;34;133;176;253;115;125;909
MONTEFALCONE VAL FORTORE;50;25;83;146;222;85;58;670
MONTESARCHIO;1.330;383;1.202;1.466;2.522;1.178;796;8.883
MORCONE;465;156;533;633;934;395;270;3.388
PADULI;342;133;393;427;701;368;217;2.582
PAGO VEIANO;203;66;210;266;380;148;115;1.389
PANNARANO;157;65;210;236;426;165;114;1.374
PAOLISI;138;45;157;232;452;211;176;1.416
PAUPISI;153;52;159;190;284;140;84;1.062
PESCO SANNITA;139;39;166;221;323;134;124;1.146
PIETRAROJA;62;24;70;51;80;32;24;344
PIETRELCINA;215;59;231;405;538;241;191;1.881
PONTE;183;76;249;326;498;273;207;1.813
PONTELANDOLFO;224;85;280;295;406;185;125;1.601
PUGLIANELLO;129;42;189;244;284;109;64;1.063
REINO;95;37;113;155;198;91;60;749
SAN BARTOLOMEO IN GALDO;243;87;361;468;777;451;293;2.680
SAN GIORGIO DEL SANNIO;734;182;712;1.048;1.828;1.028;782;6.316
SAN GIORGIO LA MOLARA;209;90;288;316;493;215;115;1.727
SAN LEUCIO DEL SANNIO;268;94;293;348;558;265;204;2.030
SAN LORENZELLO;263;76;231;289;451;194;154;1.658
SAN LORENZO MAGGIORE;166;48;185;286;407;186;114;1.392
SAN LUPO;50;19;77;107;145;89;59;548
SAN MARCO DEI CAVOTI;245;79;322;400;588;282;192;2.109
SAN MARTINO SANNITA;107;23;106;130;246;100;80;793
SAN NAZZARO;59;26;73;81;163;70;63;535
SAN NICOLA MANFREDI;269;101;341;398;714;364;297;2.485
SAN SALVATORE TELESINO;315;96;344;468;798;422;296;2.739
SANTA CROCE DEL SANNIO;149;28;123;131;227;86;51;795
SANT'AGATA DE' GOTI;852;289;1.048;1.355;2.060;1.070;583;7.262
SANT'ANGELO A CUPOLO;338;97;364;495;891;419;376;2.981
SANT'ARCANGELO TRIMONTE;41;19;44;59;97;42;20;323
SASSINORO;44;21;59;61;125;41;27;378
SOLOPACA;691;151;436;540;756;318;202;3.100
TELESE TERME;562;133;575;840;1.466;871;646;5.094
TOCCO CAUDIO;157;52;166;196;247;104;63;986
TORRECUSO;392;90;399;460;665;294;223;2.525
VITULANO;243;110;279;366;567;215;172;1.954
