COMUNE;EURO 0;EURO 1;EURO 2;EURO 3;EURO 4;EURO 5;EURO 6;TOTALE
AILANO;162;39;123;145;228;94;71;863
ALIFE;902;292;710;887;1.519;604;411;5.329
ALVIGNANO;531;207;447;499;910;398;241;3.235
ARIENZO;460;157;440;529;881;444;258;3.172
AVERSA;5.725;1.214;3.686;4.817;9.163;4.752;3.666;33.099
BAIA E LATINA;194;64;189;239;323;183;111;1.305
BELLONA;458;155;551;609;1.028;534;362;3.701
CAIANELLO;186;59;136;168;345;177;131;1.203
CAIAZZO;534;187;484;604;1.081;450;292;3.632
CALVI RISORTA;399;124;377;497;1.023;579;406;3.409
CAMIGLIANO;128;37;114;153;327;175;144;1.078
CANCELLO ED ARNONE;867;217;495;505;856;465;291;3.708
CAPODRISE;602;331;818;930;1.765;921;753;6.126
CAPRIATI A VOLTURNO;139;33;116;143;231;150;84;897
CAPUA;1.758;407;1.270;1.798;3.284;1.748;1.608;11.890
CARINARO;535;163;480;649;1.210;612;455;4.109
CARINOLA;830;243;605;721;1.231;546;400;4.583
CASAGIOVE;1.000;270;862;1.268;2.498;1.296;1.009;8.210
CASAL DI PRINCIPE;3.052;693;2.005;2.044;3.660;1.674;1.282;14.454
CASALUCE;1.029;330;1.048;1.090;1.658;650;444;6.258
CASAPESENNA;983;192;556;639;1.099;607;401;4.487
CASAPULLA;599;161;542;798;1.521;802;873;5.298
CASERTA;5.469;1.270;4.293;6.201;13.454;8.047;6.761;45.541
CASTEL CAMPAGNANO;133;38;125;154;284;124;88;947
CASTEL DI SASSO;160;35;107;135;213;80;71;802
CASTEL MORRONE;261;72;289;355;651;358;262;2.249
CASTEL VOLTURNO;4.865;1.789;3.786;2.943;4.237;1.542;999;20.186
CASTELLO DEL MATESE;83;26;87;145;217;107;68;734
CELLOLE;521;188;522;788;1.315;690;539;4.567
CERVINO;333;113;336;440;767;357;241;2.589
CESA;748;221;711;920;1.579;678;427;5.293
CIORLANO;24;8;40;44;62;28;17;223
CONCA DELLA CAMPANIA;129;36;108;129;208;127;76;817
CURTI;442;134;470;644;1.216;694;524;4.125
DRAGONI;321;95;203;233;370;150;110;1.483
FALCIANO DEL MASSICO;386;119;307;323;537;259;174;2.108
FONTEGRECA;53;26;68;65;104;78;42;436
FORMICOLA;168;38;106;159;192;114;97;874
FRANCOLISE;493;166;424;491;872;359;251;3.062
FRIGNANO;1.128;295;855;941;1.490;671;470;5.863
GALLO MATESE;17;4;24;29;55;35;28;192
GALLUCCIO;232;67;213;193;351;160;119;1.335
GIANO VETUSTO;52;24;50;62;122;69;43;422
GIOIA SANNITICA;476;148;369;425;667;345;198;2.630
GRAZZANISE;684;177;555;633;1.077;606;349;4.088
GRICIGNANO DI AVERSA;967;270;932;1.111;1.915;899;622;6.722
LETINO;50;13;42;71;95;42;19;332
LIBERI;196;39;96;119;185;95;65;798
LUSCIANO;1.356;360;1.149;1.518;2.510;1.296;891;9.100
