COMUNE;EURO 0;EURO 1;EURO 2;EURO 3;EURO 4;EURO 5;EURO 6;TOTALE
ACERNO;258;103;287;268;329;125;65;1.436
AGROPOLI;2.083;555;1.763;2.362;4.114;2.183;1.584;14.650
ALBANELLA;812;273;761;790;1.156;562;314;4.669
ALFANO;87;31;75;90;128;64;44;519
ALTAVILLA SILENTINA;665;215;639;803;1.268;560;385;4.536
AMALFI;227;46;215;357;709;346;281;2.184
ANGRI;3.063;673;2.370;3.258;5.983;3.032;2.164;20.559
AQUARA;243;60;155;179;254;102;51;1.045
ASCEA;633;212;606;733;1.203;521;384;4.295
ATENA LUCANA;326;117;311;341;551;348;304;2.299
ATRANI;37;10;26;44;107;66;32;322
AULETTA;261;80;225;262;387;160;89;1.465
BARONISSI;1.009;317;1.137;1.758;3.086;1.551;1.250;10.113
BATTIPAGLIA;4.763;1.152;3.605;5.116;9.065;4.517;3.303;31.548
BELLIZZI;585;178;664;1.002;2.062;1.086;742;6.320
BELLOSGUARDO;130;12;84;92;142;66;43;570
BRACIGLIANO;467;168;477;517;882;418;248;3.180
BUCCINO;637;209;555;546;839;450;207;3.444
BUONABITACOLO;289;103;283;284;344;179;129;1.611
CAGGIANO;209;87;224;254;471;191;129;1.566
CALVANICO;131;31;109;128;253;109;68;829
CAMEROTA;532;175;544;688;1.172;427;365;3.904
CAMPAGNA;2.078;634;1.723;1.990;3.136;1.286;664;11.517
CAMPORA;51;9;35;35;68;23;22;243
CANNALONGA;88;32;92;130;171;79;33;625
CAPACCIO;2.707;808;2.336;2.796;4.070;1.932;1.471;16.131
CASAL VELINO;668;165;557;656;1.137;562;375;4.125
CASALBUONO;105;36;109;140;198;69;48;705
CASALETTO SPARTANO;129;35;129;171;232;90;65;851
CASELLE IN PITTARI;195;60;199;172;273;127;98;1.124
CASTEL SAN GIORGIO;1.219;306;946;1.297;2.519;1.189;904;8.389
CASTEL SAN LORENZO;457;107;302;269;355;117;111;1.722
CASTELCIVITA;233;64;176;206;264;142;72;1.157
CASTELLABATE;884;190;636;879;1.653;902;546;5.694
CASTELNUOVO CILENTO;241;80;269;379;550;247;158;1.924
CASTELNUOVO DI CONZA;94;26;68;57;84;44;28;402
CASTIGLIONE DEL GENOVESI;110;36;90;146;217;93;72;764
CAVA DE' TIRRENI;4.018;1.148;3.718;5.039;8.768;3.723;2.838;29.278
CELLE DI BULGHERIA;134;45;157;246;409;152;79;1.222
CENTOLA;561;162;544;598;972;399;320;3.557
CERASO;291;75;230;276;424;171;120;1.589
CETARA;58;31;84;155;299;143;110;882
CICERALE;148;59;140;138;237;101;56;879
COLLIANO;514;174;409;434;611;374;144;2.661
CONCA DEI MARINI;38;10;24;64;111;49;48;344
CONTRONE;98;29;110;101;138;61;38;576
CONTURSI TERME;366;105;305;362;580;292;180;2.192
CORBARA;193;63;174;250;471;186;140;1.477
CORLETO MONFORTE;105;23;80;77;103;47;28;464
CUCCARO VETERE;72;13;41;59;105;56;43;389
EBOLI;3.965;1.189;3.369;4.175;6.683;2.901;2.139;24.433
FELITTO;155;45;162;156;184;75;59;838
FISCIANO;1.016;366;1.134;1.472;2.728;1.349;1.445;9.512
FURORE;96;22;65;85;155;58;48;530
FUTANI;147;62;133;113;217;76;60;808
GIFFONI SEI CASALI;377;115;371;489;952;393;286;2.985
GIFFONI VALLE PIANA;1.252;357;1.103;1.205;1.981;831;530;7.263
GIOI;146;39;142;139;218;84;47;816
GIUNGANO;161;39;120;145;232;121;73;891
