ID;Azienda;Ente_Committente;Indirizzo;Cap;Comune;Provincia;Regione
1;A.T.C. AZIENDA TRASPORTI CAMPANI S.R.L.;REGIONE CAMPANIA/CITTA METROPOLITANA DI NAPOLI;VIA APPIA KM 195+200 SNC;81041;VITULAZIO;CASERTA;CAMPANIA
2;ACIERNO STEFANO SRL;PROVINCIA AVELLINO/REGIONE CAMPANIA;VIA DOMENICO CANDELA 07;83022;BAIANO;AVELLINO;CAMPANIA
3;ANGELO FERRAZZA & C SAS;PROVINCIA BENEVENTO/REGIONE CAMPANIA/PROVINCIA CASERTA;VIA CESARE BATTISTI VIA CESARE BARRISTI 561;;PIEDIMONTE MATESE;CASERTA;CAMPANIA
4;ATEC S.R.L.;PROVINCIA SALERNO;VIA VITTORIO VENETO VIA VITTORIO VENETO 34;84025;EBOLI;SALERNO;CAMPANIA
5;AUTOLINEE BARTOLINI;PROVINCIA AVELLINO;CDA CARBOCISI SS.88;83011;ALTAVILLA IRPINA;AVELLINO;CAMPANIA
6;AUTOLINEE BIZZARRO S.R.L.;REGIONE CAMPANIA/PROVINCIA BENEVENTO;CONTRADA TORREPALAZZO SNC;82030;TORRECUSO;BENEVENTO;CAMPANIA
7;AUTOLINEE BUONOTOURIST;PROVINCIA SALERNO/REGIONE CAMPANIA;VIA VIA TORRIONE 93;84127;SALERNO;SALERNO;CAMPANIA
8;AUTOLINEE CURCIO SRL;PROVINCIA SALERNO;VIA DELLE FORNACI 6;84035;POLLA;SALERNO;CAMPANIA
9;AUTOLINEE CURRERI;CITTA METROPOLITANA DI NAPOLI;P.ZZA KENNEDY 10;80069;VICO EQUENSE;NAPOLI;CAMPANIA
10;AUTOLINEE D'AGOSTINO DI FLORINDO LAUDATO S.N.C.;PROVINCIA CASERTA/REGIONE CAMPANIA;VIA PONTEFORNO SNC;82030;LIMATOLA;BENEVENTO;CAMPANIA
11;AUTOLINEE E NOLEGGI DELL'ALTO SELE SRL;REGIONE CAMPANIA/PROVINVIA AVELLINO;VIA DUOMO 85;83040;CAPOSELE;AVELLINO;CAMPANIA
12;AUTOLINEE EREDI ARTURO LAMANNA SNC;PROVINCIA SALERNO;VIA MEZZACAPO 185;84036;SALA CONSILINA;SALERNO;CAMPANIA
13;AUTOLINEE EREDI DI FERNANDES PASQUALINO SAS DI FERNANDES P.A.A. & C.;PROVINCIA CASERTA/REGIONE CAMPANIA;VIA S. ANTONIO ABATE 43/A;81050;PIETRAVAIRANO;CASERTA;CAMPANIA
14;AUTOLINEE F.LLI VERDICCHIO DI CARFORA VINCENZA E C.;REGIONE CAMPANIA/PROVINCIA CASERTA;VIA KENNEDY 025;81027;SAN FELICE A CANCELLO;CASERTA;CAMPANIA
15;AUTOLINEE GIUSEPPE MARCARELLI;REGIONE CAMPANIA/PROVINCIA BENEVENTO;VIA ANTONIO GRAMSCI 39;82030;CASTELPOTO;BENEVENTO;CAMPANIA
16;AUTOLINEE L.A.S. SNC;PROVINCIA SALERNO;LARGO SANT'ANTONIO 2;84022;SALERNO;SALERNO;CAMPANIA
17;AUTOLINEE MEZZULLO S.N.C. DI PEPE LUCIA & C. AUTOSERVIZI PUBBLICI;REGIONE CAMPANIA/PROVINCIA CASERTA;PIAZZA RUGGIERO PIAZZA RUGGIERO 3;81100;CASERTA;CASERTA;CAMPANIA
18;AUTOLINEE NISI ARMANDO E FIGLI DI NISI LUISA SAS;REGIONE CAMPANIA;VIA VICINALE CRAVATT VIA VICINALE CRAVATTA 1;84036;SALA CONSILINA;SALERNO;CAMPANIA
19;AUTOLINEE PECORI SAS;PROVINCIA SALERNO;6 S PECORI;84020;ROSCIGNO;SALERNO;CAMPANIA
20;AUTOLINEE SELLITTO SRL;PROVINCIA BENEVENTO;VIA CIARDELLI INFERIORE SN;83015;PIETRASTORNINA;AVELLINO;CAMPANIA
21;AUTOLINEE VINCENZO DAMIANO;PROVINCIA BENEVENTO/REGIONE CAMPANIA;VIA MAROTTA VIA MAROTTA 12;82030;LIMATOLA;BENEVENTO;CAMPANIA
22;AUTOLINEE ZAMPETTI & C. DI ZAMPETTI TIBERIO SAS;PROVINCIA AVELLINO;VIA S. EGIDIO 92 BIS;83030;MONTEFUSCO;AVELLINO;CAMPANIA
23;AUTOSERVIZI ACIERNO SRL;REGIONE CAMPANIA;VIA LUIGI NAPOLITANO 10;83022;BAIANO;AVELLINO;CAMPANIA
24;AUTOSERVIZI CONTE SNC;PROVINCIA SALERNO;VIA CARTIERE 10;84020;COLLIANO;SALERNO;CAMPANIA
25;AUTOSERVIZI COPPOLA S.R.L.;PROVINCIA SALERNO;VIA ALFANI 6;84099;SAN CIPRIANO PICENTINO;SALERNO;CAMPANIA
26;AUTOSERVIZI DI CAPRIO DI GIUSEPPE DI CAPRIO & C. S.A.S.;REGIONE CAMPANIA/PROVINCIA BENEVENTO;VIA STAZIONE 22;82030;DUGENTA;BENEVENTO;CAMPANIA
27;AUTOSERVIZI EREDI ROBERTO FERRAZZA SRL;REGIONE CAMPANIA/PROVINCIA CASERTA;VIA VIA ANTONIO GAETANI 4;81016;PIEDIMONTE MATESE;CASERTA;CAMPANIA
28;AUTOSERVIZI FORTORE SRL;REGIONE CAMPANIA;VIA TAVERNA ROCCA SNC;82020;PIETRELCINA;BENEVENTO;CAMPANIA
29;AUTOSERVIZI FUSCO NICOLA & C SNC DI FUSCO RAFFAELE;CITTA METROPOLITANA DI NAPOLI;VIA ARMANDO DIAZ 1;80051;AGEROLA;NAPOLI;CAMPANIA
30;AUTOSERVIZI GAETANI S.R.L.;REGIONE CAMPANIA;VIA ORTALE, 72 VIA ORTALE - SAN CASTRESE 72;81037;SESSA AURUNCA;CASERTA;CAMPANIA
