Progressivo;DenominazioneImpresa;AnnoDiFondazione;Indirizzo;Comune;Provincia;Fondatore;GenereMerceologico;AttualeTitolare;EstremiRichiestaIscrizione
1;Farmacia Pilerci;1927;Piazza Vittorio Emanuele –;Vallo Della Lucania;SA;Pilerci Michele fu Pasquale;Farmacia;Pilerci Michele Arcangelo;Deter. n.23 del 18/11/2014
2;Tarallo;1935;Via Toledo n. 419/420;Napoli;NA;Tarallo Alberto;Commercio al Dettaglio di Abbigliamento;Tarallo Elio;PG/2014/974096
3;Maison Donadio 1903;1925;Via Toledo n. 290;Napoli;NA;Merola Eduardo;Commercio al Dettaglio di Abbigliamento;Gaeta Rosa;PG/2014/980550
4;Renata Gatta;1935;Via Duomo n.212;Napoli;NA;Gatta Francesco;Commercio al Dettaglio di Abbigliamento;Renata Gatta;PG/2014984599
5;Cioccolato Gallucci s.n.c.;1890;Via Cisterna Dell’Olio n.6/C;Napoli;NA;Gallucci Matteo;Commercio al Dettaglio di Cioccolata e Prodotti dolciari;Gallucci Francesco;PG/2014988433
6;F.lli Martone;1956;Via Pietro Colletta n. 1/9 (angolo Corso Umberto I);Napoli;NA;Martone Giovanni;Commercio al Dettaglio di Abbigliamento;Martone Giovanni;PG/2014/989101
7;Gioielleria Sorrentino;1925;Corso Umberto I n. 383/385;Napoli;NA;Sorrentino Enrico;Gioielleria;Sorrentino Francesco;PG/2014/989983
8;Casa della Penna;1937;Corso Umberto I n. 88;Napoli;NA;Bava Vincenzo;Commercio al Dettaglio di penne, orologi, ecc.;Bava Vincenzo;PG/2014/990038
9;La Bersagliera;1919;Via Borgo Marinari n. 10/11;Napoli;NA;Del Tufo Emilia;Ristorante, bar;Chiosi Agostino;PG/2014/990127
10;Legatoria Cassese;1961;Via P. Margherita n.52;Nola;NA;De Feo Felice;Legatoria e restauro libri;Storace Tiziana;Prot. n. 27533 del 28/10/2014
11;Campanile Nicola;1945;Via Toledo ,17/16;Napoli;NA;Campanile;Calzaturificio;Campanile Nicola;PG/2016/117847
12;Srl De Luca Pasquale;1940;Via Cisterna dell’Olio 5/A;Napoli;NA;De Luca;Vendita di Parati;De Luca Massimo;PG/2016/117847
13;Società S. Anna al Borgo srl;1905;Piazza  S. Domenico Maggiore , 19;Napoli;NA;Famiglia Scaturchio;Pasticceria;Bianco Claudia;PG/2016/117847
14;Pizzeria Gorizia srl;1916;Via Bernini , 29/31;Napoli;NA;Salvatore Grasso;Pizzeria;Grasso Salvatore Antonio;PG/2016/117847
15;Pizzeria Gorizia sas;1920;Via A. Albino Trav. Cilea18/20;Napoli;NA;Salvatore Grasso;Pizzeria;Grasso Antonio;PG/2016/117847
16;Pizzeria F.lli Prigiobbo snc;1965;Porta Carrese a Montecalvario, 96;Napoli;NA;Prigiobbo Antonio;Pizzeria;Prigiobbo Gennaro;PG/2016/419362
17;Il Chioschetto;1907;Piazza Vanvitelli Fronte n.1;Napoli;NA;Donzelli Rita;Commercio al dettaglio di piante e fiori;Donzelli Rita;PG/2016/419362
