DenominazioneAzienda;Sede;Comune;Provincia;Note;Telefono;E_Mail;PEC;SitoWeb;Attivata
Asilo infantile Galasso;c/o Municipio;Mercogliano;AV;;;segreteria@comunemercogliano.it;;www.entemoraleasilogalasso.it;Inattiva in campo socio-assistenziale
Asilo infantile S.Antonio;via San Vito, 1;Calabritto;AV;;;;;;Gestione scuola materna
Casa di riposo Stella Mattutina;Borgata Mattinella;Andretta;AV;sede inagibile;;;;;Inattiva in campo socio-assistenziale - mera esistenza nominale
Istituto educativo-assistenziale Vittorio Emanuele III;;Benevento;BN;priva di sede;;;;;Inattiva in campo socio-assistenziale - avviato procedimento di estinzione
Asilo infantile San Filippo Neri;via Roma, 151;Arienzo;CE;sede inagibile;;;;;Inattiva in campo socio-assistenziale
Istituto Moretti in S.Agostino;via Cesare Golia, 39;Aversa;CE;;;;;;Inattiva in campo socio-assistenziale
Istituti riuniti;;Caiazzo;CE;sede inagibile;;;;;Inattiva in campo socio-assistenziale
Asilo infantile Sacro Cuore;;Prata Sannita;CE;priva di sede;;;;;Inattiva in campo socio-assistenziale - mera esistenza nominale
Asilo infantile Filomena Maccarone;;Sessa Aurunca;CE;priva di sede;;;;;Inattiva in campo socio-assistenziale - mera esistenza nominale
Opere pie ex ECA;Largo S.Maria La Nova, 12;Napoli;NA;;;;info.execa.na@legalmail.it;;Inattiva in campo socio-assistenziale_avviato procedimento di estinzione
Conservatorio Ave Gratia Plena;;Ottaviano;NA;priva di sede;;;;;Inattiva in campo socio-assistenziale_mera esistenza nominale
Orfanotrofio dell'Addolorata;via De Gasperi, 3;Villaricca;NA;;;;;;Inattiva in campo socio-assistenziale
Asilo Pastore Salsano;;Cava de' Tirreni;SA;sede inagibile;;;;;Inattiva in campo socio-assistenziale_avviato procedimento di estinzione
Asilo infantile Rosa e Gaetano De Ruggiero;;Nocera Superiore;SA;priva di sede;;;;;Inattiva in campo socio-assistenziale_avviato procedimento di estinzione
