COMUNE;EURO 0;EURO 1;EURO 2;EURO 3;EURO 4;TOTALE
AIELLO DEL SABATO;83;54;45;86;16;284
ALTAVILLA IRPINA;98;55;29;74;15;271
ANDRETTA;45;18;15;24;2;104
AQUILONIA;20;13;7;18;5;63
ARIANO IRPINO;489;255;210;302;57;1.313
ATRIPALDA;172;121;116;253;43;705
AVELLA;178;115;86;174;20;573
AVELLINO;1.308;864;781;1.706;358;5.021
BAGNOLI IRPINO;85;28;25;59;7;204
BAIANO;114;82;48;104;19;367
BISACCIA;79;31;33;43;3;190
BONITO;56;22;23;35;5;141
CAIRANO;11;5;1;4;1;22
CALABRITTO;27;17;11;26;6;87
CALITRI;116;42;27;59;6;250
CANDIDA;31;10;5;22;1;69
CAPOSELE;87;40;26;52;6;211
CAPRIGLIA IRPINA;37;30;22;52;7;148
CARIFE;42;12;12;22;3;91
CASALBORE;49;18;8;19;4;98
CASSANO IRPINO;22;16;8;27;4;77
CASTEL BARONIA;30;14;7;15;1;67
CASTELFRANCI;46;13;17;18;3;99
CASTELVETERE SUL CALORE;31;25;13;29;6;104
CERVINARA;254;105;101;132;12;604
CESINALI;71;30;34;63;11;209
CHIANCHE;27;4;7;8;;46
CHIUSANO DI SAN DOMENICO;39;25;20;35;4;123
CONTRADA;53;31;22;42;6;154
CONZA DELLA CAMPANIA;41;18;6;14;;80
DOMICELLA;98;68;57;89;9;321
FLUMERI;69;41;23;30;1;164
FONTANAROSA;82;23;31;59;10;205
FORINO;102;62;46;81;16;307
FRIGENTO;89;34;20;43;6;192
GESUALDO;94;35;26;49;5;209
GRECI;13;1;1;13;1;29
GROTTAMINARDA;222;92;46;165;29;554
GROTTOLELLA;51;24;27;39;6;147
GUARDIA LOMBARDI;40;13;9;29;1;92
LACEDONIA;57;10;19;27;3;116
LAPIO;29;13;13;20;3;78
LAURO;107;68;55;107;19;356
LIONI;139;69;36;74;13;331
LUOGOSANO;30;7;6;13;1;57
MANOCALZATI;71;38;32;71;11;223
MARZANO DI NOLA;45;33;46;69;7;200
MELITO IRPINO;36;23;15;22;2;98
MERCOGLIANO;260;181;163;367;57;1.028
MIRABELLA ECLANO;171;103;78;136;29;517
MONTAGUTO;10;5;3;9;;27
MONTECALVO IRPINO;80;29;50;81;17;258
MONTEFALCIONE;80;29;25;32;4;170
MONTEFORTE IRPINO;217;179;165;376;67;1.005
MONTEFREDANE;39;26;15;43;8;131
MONTEFUSCO;41;17;8;24;2;92
MONTELLA;176;81;65;106;14;442
MONTEMARANO;61;23;25;41;5;155
MONTEMILETTO;149;63;53;97;8;370
MONTEVERDE;10;4;1;1;;16
MONTORO;413;272;216;401;66;1.369
MORRA DE SANCTIS;35;7;8;13;1;64
MOSCHIANO;32;22;21;35;2;112
MUGNANO DEL CARDINALE;103;66;76;130;12;387
NUSCO;94;34;23;55;13;219
OSPEDALETTO D'ALPINOLO;58;26;18;65;14;181
PAGO DEL VALLO DI LAURO;63;42;46;69;8;228
PAROLISE;16;8;4;15;1;44
PATERNOPOLI;59;22;18;41;5;145
PETRURO IRPINO;8;;2;4;;14
PIETRADEFUSI;64;23;26;35;4;152
PIETRASTORNINA;36;34;31;60;10;172
PRATA DI PRINCIPATO ULTRA;65;44;24;53;7;193
PRATOLA SERRA;69;30;18;65;13;195
QUADRELLE;39;16;20;50;7;132
QUINDICI;52;57;31;49;2;191
ROCCA SAN FELICE;24;7;14;26;1;72
ROCCABASCERANA;50;39;36;63;7;195
ROTONDI;64;43;37;52;13;209
SALZA IRPINA;11;9;6;13;2;41
SAN MANGO SUL CALORE;23;5;10;18;3;59
SAN MARTINO VALLE CAUDINA;132;77;73;124;14;420
SAN MICHELE DI SERINO;58;28;30;62;10;188
SAN NICOLA BARONIA;16;8;6;15;;45
SAN POTITO ULTRA;46;10;27;43;8;134
SAN SOSSIO BARONIA;40;9;6;13;2;70
SANTA LUCIA DI SERINO;33;6;11;25;1;76
SANTA PAOLINA;23;16;13;22;1;75
SANT'ANDREA DI CONZA;32;9;10;21;;72
SANT'ANGELO A SCALA;21;20;15;55;4;115
SANT'ANGELO ALL'ESCA;18;7;9;14;1;49
SANT'ANGELO DEI LOMBARDI;95;39;40;76;8;258
SANTO STEFANO DEL SOLE;38;18;18;41;3;118
SAVIGNANO IRPINO;37;13;11;20;2;83
SCAMPITELLA;34;10;6;12;;62
SENERCHIA;38;11;5;12;7;73
SERINO;150;77;45;91;14;377
SIRIGNANO;73;56;56;84;15;284
SOLOFRA;206;141;91;176;31;645
SORBO SERPICO;9;3;4;22;2;40
SPERONE;93;51;43;79;27;293
STURNO;91;35;24;42;2;194
SUMMONTE;46;18;30;57;4;155
TAURANO;29;20;33;47;5;134
TAURASI;63;26;28;37;8;163
TEORA;28;13;14;24;2;81
TORELLA DEI LOMBARDI;42;20;24;22;8;116
TORRE LE NOCELLE;25;14;16;18;2;75
TORRIONI;8;6;6;10;1;31
TREVICO;48;11;12;15;;86
TUFO;16;10;8;15;;49
VALLATA;39;18;13;31;7;109
VALLESACCARDA;30;5;10;16;4;66
VENTICANO;81;39;32;31;1;184
VILLAMAINA;22;7;11;6;2;48
VILLANOVA DEL BATTISTA;29;13;5;12;;59
VOLTURARA IRPINA;87;22;16;26;2;153
ZUNGOLI;22;7;5;14;1;49
