COMUNE;EURO 0;EURO 1;EURO 2;EURO 3;EURO 4;TOTALE
AIROLA;181;116;137;202;37;673
AMOROSI;98;52;46;56;8;260
APICE;128;77;67;101;21;394
APOLLOSA;62;28;33;49;3;175
ARPAIA;26;22;31;39;4;122
ARPAISE;16;15;21;45;3;101
BASELICE;53;18;10;36;5;122
BENEVENTO;1.322;924;806;1.565;217;4.841
BONEA;25;18;25;27;4;99
BUCCIANO;58;30;26;36;5;155
BUONALBERGO;39;16;17;37;6;115
CALVI;93;47;47;60;24;272
CAMPOLATTARO;21;14;8;13;1;57
CAMPOLI DEL MONTE TABURNO;23;28;19;27;2;99
CASALDUNI;48;12;9;21;3;93
CASTELFRANCO IN MISCANO;12;3;4;9;4;32
CASTELPAGANO;36;17;10;13;;76
CASTELPOTO;28;12;10;17;;67
CASTELVENERE;79;54;30;53;3;219
CASTELVETERE VAL FORTORE;16;4;3;12;;35
CAUTANO;55;41;24;46;5;171
CEPPALONI;94;58;55;109;15;331
CERRETO SANNITA;97;49;45;72;11;274
CIRCELLO;65;18;12;23;2;120
COLLE SANNITA;66;29;18;18;3;134
CUSANO MUTRI;97;59;49;94;12;314
DUGENTA;69;50;34;70;10;233
DURAZZANO;53;45;43;66;9;216
FAICCHIO;104;60;55;69;12;300
FOGLIANISE;134;56;42;67;7;307
FOIANO DI VAL FORTORE;29;8;14;14;;65
FORCHIA;36;19;20;34;2;111
FRAGNETO L'ABATE;48;13;4;13;7;85
FRAGNETO MONFORTE;43;11;25;29;4;112
FRASSO TELESINO;101;36;32;62;6;237
GINESTRA DEGLI SCHIAVONI;9;1;1;3;;14
GUARDIA SANFRAMONDI;111;90;59;95;13;368
LIMATOLA;136;90;80;124;20;451
MELIZZANO;72;33;37;66;12;220
MOIANO;91;55;44;80;9;280
MOLINARA;32;15;8;21;3;79
MONTEFALCONE VAL FORTORE;23;13;7;13;5;61
MONTESARCHIO;243;207;201;248;26;925
MORCONE;149;87;50;99;14;399
PADULI;106;44;47;63;7;267
PAGO VEIANO;44;24;10;22;2;103
PANNARANO;51;41;47;86;10;235
PAOLISI;51;22;47;41;4;165
PAUPISI;45;20;19;27;3;114
PESCO SANNITA;56;17;14;28;5;120
PIETRAROJA;15;3;7;9;;34
PIETRELCINA;92;32;40;55;16;236
PONTE;48;26;26;39;9;148
PONTELANDOLFO;56;43;40;66;9;214
PUGLIANELLO;48;21;12;21;4;106
REINO;34;14;11;17;1;79
SAN BARTOLOMEO IN GALDO;61;48;36;60;4;209
SAN GIORGIO DEL SANNIO;229;143;126;270;38;806
SAN GIORGIO LA MOLARA;51;32;17;37;6;143
SAN LEUCIO DEL SANNIO;79;30;36;56;5;206
SAN LORENZELLO;70;33;33;48;13;197
SAN LORENZO MAGGIORE;48;30;33;60;4;175
SAN LUPO;25;14;18;22;6;85
SAN MARCO DEI CAVOTI;78;38;26;64;5;211
SAN MARTINO SANNITA;33;20;25;35;8;121
SAN NAZZARO;34;11;14;12;5;76
SAN NICOLA MANFREDI;98;53;62;100;18;331
SAN SALVATORE TELESINO;127;56;50;110;18;362
SANTA CROCE DEL SANNIO;41;17;30;44;2;134
SANT'AGATA DE' GOTI;312;213;184;307;38;1.056
SANT'ANGELO A CUPOLO;112;87;55;129;17;400
SANT'ARCANGELO TRIMONTE;17;7;6;15;3;48
SASSINORO;20;11;5;9;;45
SOLOPACA;112;84;54;106;15;371
TELESE TERME;276;141;143;209;31;800
TOCCO CAUDIO;38;10;21;20;;89
TORRECUSO;91;50;53;53;3;250
VITULANO;66;32;26;51;2;177
