COMUNE;EURO 0;EURO 1;EURO 2;EURO 3;EURO 4;TOTALE
AILANO;56;17;13;26;3;115
ALIFE;278;117;102;118;21;636
ALVIGNANO;207;125;62;88;7;489
ARIENZO;85;53;36;61;9;244
AVERSA;1.168;730;828;1.323;246;4.295
BAIA E LATINA;93;32;25;20;1;171
BELLONA;187;111;117;122;18;555
CAIANELLO;46;23;25;42;8;144
CAIAZZO;258;87;76;115;16;552
CALVI RISORTA;179;78;66;96;14;433
CAMIGLIANO;41;27;33;29;7;137
CANCELLO ED ARNONE;112;83;63;66;7;331
CAPODRISE;227;143;157;289;48;864
CAPRIATI A VOLTURNO;24;25;14;26;4;94
CAPUA;497;340;236;386;84;1.543
CARINARO;107;132;135;172;27;573
CARINOLA;141;97;84;85;13;422
CASAGIOVE;409;225;218;369;64;1.285
CASAL DI PRINCIPE;227;291;322;304;37;1.181
CASALUCE;137;146;139;155;14;591
CASAPESENNA;82;127;95;76;7;387
CASAPULLA;225;142;124;218;48;757
CASERTA;2.738;1.544;1.427;2.797;482;8.994
CASTEL CAMPAGNANO;35;22;15;30;4;106
CASTEL DI SASSO;34;12;16;16;2;80
CASTEL MORRONE;123;62;55;98;20;358
CASTEL VOLTURNO;411;515;442;505;110;1.985
CASTELLO DEL MATESE;20;13;15;29;4;81
CELLOLE;165;155;130;200;29;679
CERVINO;103;65;52;71;8;299
CESA;145;138;132;194;24;633
CIORLANO;6;4;6;2;;18
CONCA DELLA CAMPANIA;30;13;12;16;;71
CURTI;218;114;133;195;33;693
DRAGONI;81;46;29;29;3;188
FALCIANO DEL MASSICO;86;43;34;41;5;209
FONTEGRECA;11;9;12;10;4;46
FORMICOLA;46;27;18;27;2;120
FRANCOLISE;98;53;41;72;6;270
FRIGNANO;109;174;113;158;15;569
GALLO MATESE;3;2;2;5;;12
GALLUCCIO;73;29;26;29;4;161
GIANO VETUSTO;21;9;10;13;1;54
GIOIA SANNITICA;128;58;48;74;11;320
GRAZZANISE;146;91;63;71;10;381
GRICIGNANO DI AVERSA;191;238;206;225;25;885
LETINO;15;3;4;3;2;27
LIBERI;39;14;17;17;2;89
LUSCIANO;274;283;214;317;60;1.148
MACERATA CAMPANIA;335;167;146;318;33;999
MADDALONI;978;562;393;594;65;2.592
MARCIANISE;1.083;645;576;1.277;131;3.727
MARZANO APPIO;60;23;20;42;4;149
MIGNANO MONTE LUNGO;66;42;40;31;3;183
MONDRAGONE;509;562;466;638;91;2.267
ORTA DI ATELLA;345;258;343;468;87;1.501
PARETE;180;160;176;215;47;778
PASTORANO;99;56;41;64;11;271
PIANA DI MONTE VERNA;102;38;27;66;4;237
PIEDIMONTE MATESE;423;212;192;234;29;1.093
PIETRAMELARA;106;53;46;107;7;320
PIETRAVAIRANO;102;71;59;60;3;295
PIGNATARO MAGGIORE;145;85;101;119;18;468
PONTELATONE;50;22;18;27;3;120
PORTICO DI CASERTA;175;111;122;200;25;633
PRATA SANNITA;38;13;12;30;1;94
PRATELLA;59;16;18;19;4;116
PRESENZANO;46;15;20;18;2;101
RAVISCANINA;35;11;19;26;1;92
RECALE;162;158;115;191;28;655
RIARDO;50;21;22;42;4;139
ROCCA D'EVANDRO;93;41;32;42;6;214
ROCCAMONFINA;91;46;31;54;7;230
ROCCAROMANA;28;9;9;7;2;55
ROCCHETTA E CROCE;15;11;5;6;;37
RUVIANO;46;13;12;20;1;92
SAN CIPRIANO D'AVERSA;189;214;226;184;27;840
SAN FELICE A CANCELLO;448;254;177;288;41;1.209
SAN GREGORIO MATESE;21;10;6;14;2;53
SAN MARCELLINO;183;277;202;255;44;961
SAN MARCO EVANGELISTA;273;117;106;176;30;702
SAN NICOLA LA STRADA;519;348;286;567;116;1.836
SAN PIETRO INFINE;24;9;5;5;2;45
SAN POTITO SANNITICO;66;40;27;83;10;226
SAN PRISCO;337;194;158;337;62;1.089
SAN TAMMARO;142;78;72;133;22;447
SANTA MARIA A VICO;270;170;138;213;33;825
SANTA MARIA CAPUA VETERE;909;675;539;1.034;181;3.339
SANTA MARIA LA FOSSA;36;31;25;28;1;121
SANT'ANGELO D'ALIFE;95;47;26;47;6;221
SANT'ARPINO;255;181;174;245;42;897
SESSA AURUNCA;480;331;261;379;56;1.509
SPARANISE;165;94;112;129;15;515
SUCCIVO;136;91;81;148;30;487
TEANO;332;184;149;221;27;914
TEVEROLA;193;200;180;284;45;902
TORA E PICCILLI;27;12;11;24;3;77
TRENTOLA DUCENTA;325;300;246;369;72;1.312
VAIRANO PATENORA;143;100;106;116;19;484
VALLE AGRICOLA;8;4;5;11;;28
VALLE DI MADDALONI;73;21;25;32;3;154
VILLA DI BRIANO;70;113;85;131;16;415
VILLA LITERNO;122;157;161;174;26;640
VITULAZIO;174;122;131;162;27;616
