COMUNE;EURO 0;EURO 1;EURO 2;EURO 3;EURO 4;TOTALE
ACERNO;32;20;14;17;4;87
AGROPOLI;688;542;433;823;115;2.602
ALBANELLA;205;94;78;119;14;511
ALFANO;28;11;8;12;1;60
ALTAVILLA SILENTINA;158;73;65;110;16;422
AMALFI;222;199;203;560;118;1.302
ANGRI;775;749;516;1.202;253;3.496
AQUARA;47;18;11;12;2;90
ASCEA;150;123;88;174;26;561
ATENA LUCANA;38;40;33;34;4;149
ATRANI;33;25;38;67;14;177
AULETTA;26;23;14;27;8;99
BARONISSI;409;296;313;640;96;1.756
BATTIPAGLIA;1.160;819;651;1.118;195;3.946
BELLIZZI;176;121;93;236;41;668
BELLOSGUARDO;20;10;9;7;1;47
BRACIGLIANO;84;69;60;105;20;338
BUCCINO;110;45;36;40;2;233
BUONABITACOLO;55;21;21;29;2;128
CAGGIANO;58;22;17;15;6;119
CALVANICO;35;9;20;16;5;85
CAMEROTA;202;192;159;436;47;1.036
CAMPAGNA;393;243;179;248;33;1.097
CAMPORA;11;;2;6;;19
CANNALONGA;18;15;17;12;3;66
CAPACCIO;561;403;326;496;79;1.867
CASAL VELINO;153;93;94;145;31;517
CASALBUONO;13;8;5;11;3;41
CASALETTO SPARTANO;30;11;11;11;4;67
CASELLE IN PITTARI;50;23;13;16;2;104
CASTEL SAN GIORGIO;427;288;215;381;53;1.365
CASTEL SAN LORENZO;44;33;22;26;3;128
CASTELCIVITA;31;20;21;25;5;102
CASTELLABATE;325;311;230;489;64;1.419
CASTELNUOVO CILENTO;46;38;45;60;12;201
CASTELNUOVO DI CONZA;13;6;1;7;;27
CASTIGLIONE DEL GENOVESI;38;26;26;55;6;151
CAVA DE' TIRRENI;1.961;1.410;1.136;2.154;407;7.072
CELLE DI BULGHERIA;55;27;24;72;10;188
CENTOLA;171;187;182;351;36;927
CERASO;59;35;34;36;8;172
CETARA;18;38;40;81;29;206
CICERALE;42;23;24;33;7;129
COLLIANO;108;26;29;42;3;208
CONCA DEI MARINI;23;21;22;77;11;154
CONTRONE;16;15;16;22;;69
CONTURSI TERME;56;33;29;30;4;152
CORBARA;81;86;45;84;13;309
CORLETO MONFORTE;10;4;3;5;;22
CUCCARO VETERE;16;12;5;6;3;42
EBOLI;852;514;389;547;106;2.409
FELITTO;21;13;10;6;;50
FISCIANO;331;209;196;364;76;1.177
FURORE;34;36;29;78;10;187
FUTANI;35;15;6;15;2;73
GIFFONI SEI CASALI;123;74;73;132;26;428
GIFFONI VALLE PIANA;296;156;137;224;27;842
GIOI;28;13;9;11;2;63
GIUNGANO;37;27;21;40;3;128
ISPANI;42;30;37;79;16;204
LAUREANA CILENTO;40;23;18;33;10;124
LAURINO;24;8;8;10;1;51
LAURITO;17;6;8;13;3;47
LAVIANO;29;6;8;13;1;57
LUSTRA;40;14;18;10;1;83
MAGLIANO VETERE;15;12;7;7;;41
MAIORI;206;193;175;444;103;1.122
MERCATO SAN SEVERINO;575;333;291;541;86;1.826
MINORI;106;143;82;268;57;656
MOIO DELLA CIVITELLA;35;26;19;35;3;118
MONTANO ANTILIA;46;19;20;21;3;109
MONTE SAN GIACOMO;30;11;12;16;7;76
MONTECORICE;115;71;57;140;22;405
MONTECORVINO PUGLIANO;219;180;176;270;58;903
MONTECORVINO ROVELLA;432;308;212;227;39;1.218
MONTEFORTE CILENTO;10;7;5;8;;30
MONTESANO MARCELLANA;150;58;43;76;12;339
MORIGERATI;12;6;5;11;1;35
NOCERA INFERIORE;1.249;1.009;705;1.764;323;5.053
NOCERA SUPERIORE;622;481;386;834;147;2.471
NOVI VELIA;25;28;24;34;2;113
OGLIASTRO CILENTO;59;30;29;49;2;169
OLEVANO SUL TUSCIANO;152;85;72;119;31;459
OLIVETO CITRA;124;37;38;53;11;263
OMIGNANO;30;20;18;23;4;95
ORRIA;20;14;15;24;1;74
OTTATI;23;9;4;3;;39
PADULA;103;55;39;62;10;269
PAGANI;833;790;559;1.266;303;3.751
PALOMONTE;148;35;29;40;3;259
PELLEZZANO;235;231;272;621;110;1.471
PERDIFUMO;68;36;33;62;7;206
PERITO;28;14;16;22;1;81
PERTOSA;11;5;2;11;1;30
PETINA;17;8;3;4;1;33
PIAGGINE;31;11;3;24;1;70
PISCIOTTA;119;64;68;127;28;406
POLLA;122;57;45;68;10;302
POLLICA;91;67;50;118;23;349
PONTECAGNANO FAIANO;530;440;445;768;184;2.370
POSITANO;145;139;204;732;179;1.400
POSTIGLIONE;41;21;15;14;2;93
PRAIANO;75;80;100;321;79;657
PRIGNANO CILENTO;40;10;18;30;8;106
RAVELLO;103;100;80;289;64;636
RICIGLIANO;11;7;9;5;;32
ROCCADASPIDE;178;105;81;126;10;500
ROCCAGLORIOSA;78;15;17;44;10;164
ROCCAPIEMONTE;288;166;143;248;34;879
ROFRANO;22;10;6;12;2;52
ROMAGNANO AL MONTE;12;7;2;8;1;30
ROSCIGNO;15;7;7;6;2;37
RUTINO;25;25;13;19;3;85
S.EGIDIO DEL MONTE ALBINO;257;212;169;345;76;1.059
SACCO;19;4;3;4;;30
SALA CONSILINA;284;191;115;161;21;772
SALENTO;43;20;26;37;5;131
SALERNO;3.985;3.446;3.537;8.207;1.638;20.828
SALVITELLE;6;3;2;5;;16
SAN CIPRIANO PICENTINO;180;95;103;196;33;607
SAN GIOVANNI A PIRO;120;82;55;128;21;407
SAN GREGORIO MAGNO;84;35;27;34;7;188
