Denominazione;Indirizzo;NumeroCivico;Cap;Comune;Provincia;Telefono;Fax;Email;Sito;NomeRappresentanteLegale;CognomeRappresentanteLegale;NumeroDecretoIscrizione;Data_1;NumeroDecretoRevoca;Data_2
Fattoria Sociale “Fuori di Zucca” - Un fiore per la Vita Coop. Sociale ;via Botteghelle;139;80147;Napoli;NA;818149433;8119556631;segreteria@unfioreperlavita.it;www.fattoriafuoridizucca.it;Giuliano;Ciano;214;17/11/2015;;
Fattoria Sociale “Isca delle Donne” - Gea Irpina soc. coop.;Ventole;;83039;Pratola Serra;AV;;;geairpina@gmail.com;;Adele;Galdo;236;15/12/2015;;
Fattoria Sociale “Melagrana” - Koinè Impresa Sociale ;via Caudio    ;9;81028;Santa Maria a Vico;CE;0823805540;0823 805540;"ilariadigiusto@melagrana.eu; robertomalinconico@melagrana.eu";;Ilaria;;237;;
Fattoria Sociale “Nonna Teresa” - La Coccinella Coop. Soc.;Via Provinciale Madonnelle ;2;84090;Castiglione del Genovesi;Sa;089861138;089/861138;centroincontro@alice.it;;Michele;Giannattasio;238;15/12/2015;;
Fattoria Sociale “DEMETRA Soc. Coop.”;R.ne San Tommaso;85;83100;Avellino;AV;082572419;;progetti@casasullaroccia.it;;Maria Rosaria;Famoso;239;15/12/2015;;
Fattoria Sociale “La Locanda del Gigante”;Contrada Grottareale;;80011;Acerra;Na;0818446245;;locandadelgigante@libero.it;;Domenico;Valio;1;25/01/2016;;
Fattoria Sociale “Costa D'Arco Ecovillaggio” - Polo Oasi Soc. Coop.;ViaLemmo Bocchino;;82018;San Giorgio del Sannio ;BN ;82458027;82458027;comunitaoasi@hotmail.com;;Aurelio ;Iarrusso;2;25/01/2016;;
Fattoria Sociale “Lentamente” - Lentamente Società cooperativa agricola;Via Fabbricata;48;82030;Torrecuso;BN ;;;demarco.donato@yahoo.it;;Donato;De Marco;3;25/01/2016;;
Fattoria Sociale “Orto di Casa Betania” - La Solidarieta' Coop. Soc.;Via Matarazzo;23;82100;Benevento;Bn;;;;;Roberto;Ciarlo;102;05/05/2016;;
Fattoria Sociale “Primavera” -  Primavera Piccola Società Cooperativa Sociale;Via De Gasperi;323;80053;Castellammare di Stabia ;NA;815391756;;primaveracooperativa@virgilio.it;;Eleonora ;Giordano;103;05/05/2016;;
Fattoria Sociale “La Giuggiola” - Green Società Cooperativa sociale;Loc. Fievo;;81034;Mondragone;CE;823977958;823977958;"Coop.green@email.it; coop.green@pec.it";;Nicola;;139;;
Fattoria Sociale “Ottavia” - Ottavia Società Cooperativa Sociale;Via B. De Falco;16;80136;Napoli;NA;817517528;;trombelli@hotmail.it;http://cooperativaottavia.blogspot.it/ ;Antonio;D'Amore;140;25/07/2016;;
Fattoria Sociale “Manlio Rossi Doria” - Il Pioppo Impresa Sociale;Via Masseria Allocca;;80049;Somma Vesuviana;NA;815317102;;il_pioppo@libero.it;;Nicola;Balzano;141;25/07/2016;;
Fattoria Sociale “Sirio” - Sirio Cooperativa e impresa sociale;Piazza Municipio;11;80044;Ottaviano;NA;;;ceglialoredana@gmail.com;;Loredana ;Ceglia Clemente;5;27/01/2017;;
Fattoria Sociale “Gargiulo Anella” - Azienda agricola “Country House”;Via Casone;14;80045;Pompei;NA;818567172;;gargiuloanella@pec.it;;Anella;Gargiulo;7;16/05/2017;;
Fattoria Sociale “Teste di Rapa” - Impresa sociale “Teste di Rapa”;Via San Pietro Ad Montes;55/57;81100;Caserta;CE;;;testedirapa@pec.it;;Ponticiello;Giuseppe;61;14/07/2017;47;13/03/2018
Fattoria Sociale “L'ulivo Verdeggiante” - Impresa sociale “L'Ulivo Verdeggiante”;Via Tuoro a Monte Coppola;7;80053;Castellammare di Stabia ;NA;818705989;;ulivoverdeggiante@pec.net;;Tammaro;Pietro;62;14/07/2017;;
Fattoria sociale “Se.Vin” Impresa agricola “Se.Vin S.R.L.”;Via Frazione Sipicciano ;;81044;Galluccio;CE;816133869;;amministrazione@gruposeverino.it;;Severino;Giovanni;155;30/05/2018;;
