Progressivo;DenominazioneImpresa;AnnoFondazione;Indirizzo;Comune;Provincia;Fondatore;GenereMerceologico;AttualeTitolare;EstremiRichiestaIscrizione
1;Foto Garofalo;1900 (circa);Area commerciale;Lioni;AV;Antonio Garofalo;Fotografo;Gerardo Garofalo;Prot Comune di Lioni n. 11527 del 30/12/2014
2;Ceramiche Pinto srl;1900;Corso Umberto I° n. 31;Vietri sul Mare;SA;Vincenzo Pinto;Produzione di maioliche artigianali;Giovanni Alessandro;Prot. Comune di Vietri n. 0013854 del 24/10/2014
3;Cappelleria Cerbone;1882;Corso Murat n. 2;Vallo Della Lucania;SA;Giuseppe Cerbone fu Abdrea;Cappelleria;Giuseppe Cerbone;Deter.n. 25 del 18/11/2014
4;Frantoio Oleario Famiglia D'ambrosio Conti;1884;Via A. della Gatta n. 11;Vallo Della Lucania;SA;D’Ambrosio Francesco Fu Nicasio;Frantoio Oleario;Conti Emilio;Deter.n.27 del 18/11/2014
5;Ferramenta Famiglia Oricchio;1889;P.zza Vittorio Emanuele;Vallo Della Lucania;SA;Oricchio Vincenzo;Ferramenta;Donadio Pierangelo;Deter.n.24 del 18/11/2014
6;Tessuti Famiglia Barbato;1905;Corso Murat n.4;Vallo Della Lucania;SA;Nicola Barbato fu Domenico;Tessuti;Barbato Vincenzo;Deter.n.26 del 18/11/2014
7;Farmacia Troccoli;1910;Corso Murat;Vallo Della Lucania;SA;Troccoli Raffaele;Farmacia;Lavecchia Mariantonietta;Deter.n.22 del 18/11/2014
8;Giulio Raimo Srl;1847;Via S. Anna Dei Lombardi ½ - Piazza VII settembre 26;Napoli;NA;Raimo Salvatore;Articoli medicali;Riccio RaimoGiulio;PG 2014/963368
9;Talarico Mario & C.;1860;Vico Due Porte a Toledo 4/B;Napoli;NA;Talarico Achille;Ombrelli;Talarico Mario;PG  2014/988156
10;Cioccolato Gallucci Snc.;1890;Via Cisterna dell’Olio 6/c;Napoli;NA;Gallucci Matteo;Cioccolato e Prodotti Dolciari;Gallucci Francesco;PG 2014/988481
11;Antica Pasticceria Carraturo dal 1837;1904;Via Casanova,97;Napoli;NA;Pietro Carraturo;Pasticceria;Carraturo Ulderico;PG 2014/991831
12;Loveri  srl;1880;Via San Sebastiano, 74;Napoli;NA;Giuseppe Loveri;Strumenti Musicali;Loveri Maurizio;PG 2016/117847
13;Gastronomia Pane sas;1884;Via Luigi Settembrini 11;Napoli;NA;Pasquale Pane;Salumeria e Gastronomia;Pane Fortunato;PG 2016/117847
14;Antica Osteria da Tonino di Canfora Paolo;1880;Santa Teresa a Chiaia 47;Napoli;NA;Canfora Vincenzo;Osteria;Canfora Paolo;PG 2016/117847
15;Il Chioschetto;1907;Piazza Vanvitelli Fronte n.1;Napoli;NA;Donzelli Rita;Commercio al dettaglio Piante – Fiori e Addobbi floreali;Donzelli Rita;PG 2016/117847
