Comune;Istat;Dato riferito a;Popolazione (n. abitanti);RD(t);RU(t);Percentuale RD;Pro capite RD (kg/ab.*anno);Pro capite RU (kg/ab.*anno)
Aiello del Sabato;15064001;Comune;4.010;591,922;1.060,10;55.84;147.61;264.36
Altavilla Irpina;15064002;Comune;4.158;983,989;1.504,41;65.41;236.65;361.81
Andretta;15064003;Comune;1.853;280,892;449,692;62.46;151.59;242.68
Aquilonia;15064004;Comune;1.677;302,376;498,576;60.65;180.31;297.3
Ariano Irpino;15064005;Comune;22.448;3.866,72;7.948,46;48.65;172.25;354.08
Atripalda;15064006;Comune;10.968;2.636,44;4.182,40;63.04;240.38;381.33
Avella;15064007;Comune;7.810;2.219,54;3.181,58;69.76;284.19;407.37
Avellino;15064008;Comune;54.353;8.046,16;25.996,98;30.95;148.04;478.3
Bagnoli Irpino;15064009;Comune;3.139;692,049;1.085,42;63.76;220.47;345.78
Baiano;15064010;Comune;4.742;1.341,38;1.651,94;81.2;282.87;348.36
Bisaccia;15064011;Comune;3.815;830,584;1.075,04;77.26;217.72;281.79
Bonito;15064012;Comune;2.404;364,717;615,897;59.22;151.71;256.2
Cairano;15064013;Comune;313;54,11;85,99;62.93;172.88;274.73
Calabritto;15064014;Comune;2.317;225,605;578,425;39;97.37;249.64
Calitri;15064015;Comune;4.582;824,645;1.303,65;63.26;179.97;284.51
Candida;15064016;Comune;1.121;164,379;313,019;52.51;146.64;279.23
Caposele;15064017;Comune;3.430;502,09;1.053,27;47.67;146.38;307.08
Capriglia Irpina;15064018;Comune;2.404;325,561;522,441;62.32;135.42;217.32
Carife;15064019;Comune;1.381;214,905;383,645;56.02;155.62;277.8
Casalbore;15064020;Comune;1.772;304,773;525,133;58.04;171.99;296.35
Cassano Irpino;15064021;Comune;964;131,76;241,94;54.46;136.68;250.98
Castel Baronia;15064022;Comune;1.102;176,729;274,409;64.4;160.37;249.01
Castelfranci;15064023;Comune;1.986;306,152;509,972;60.03;154.16;256.78
Castelvetere sul Calore;15064024;Comune;1.569;301,44;468,16;64.39;192.12;298.38
Cervinara;15064025;Comune;9.488;1.910,31;3.775,77;50.59;201.34;397.95
Cesinali;15064026;Comune;2.594;473,39;745,21;63.52;182.49;287.28
Chianche;15064027;Comune;487;84,126;176,526;47.66;172.74;362.48
Chiusano di San Domenico;15064028;Comune;2.219;489,984;606,824;80.75;220.81;273.47
Contrada;15064029;Comune;3.063;478,382;843,022;56.75;156.18;275.23
Conza della Campania;15064030;Comune;1.329;209,195;387,075;54.05;157.41;291.25
Domicella;15064031;Comune;1.850;542,24;570,16;95.1;293.1;308.19
Flumeri;15064032;Comune;2.944;465,826;865,896;53.8;158.23;294.12
Fontanarosa;15064033;Comune;3.109;560,52;854,38;65.61;180.29;274.81
Forino;15064034;Comune;5.357;1.193,84;2.038,18;58.57;222.86;380.47
Frigento;15064035;Comune;3.663;837,207;1.135,71;73.72;228.56;310.05
Gesualdo;15064036;Comune;3.446;602,534;900,314;66.92;174.85;261.26
Greci;15064037;Comune;659;108,626;197,006;55.14;164.83;298.95
Grottaminarda;15064038;Comune;8.004;1.889,02;3.157,28;59.83;236.01;394.46
Grottolella;15064039;Comune;1.903;260,661;503,901;51.73;136.97;264.79
Guardia Lombardi;15064040;Comune;1.662;129,695;399,145;32.49;78.04;240.16
Lacedonia;15064041;Comune;2.275;336,85;789,45;42.67;148.07;347.01
Lapio;15064042;Comune;1.546;258,395;394,855;65.44;167.14;255.4
Lauro;15064043;Comune;3.445;995,603;1.334,89;74.58;289;387.49
Lioni;15064044;Comune;6.153;1.470,66;2.031,52;72.39;239.02;330.17
Luogosano;15064045;Comune;1.164;264,453;402,033;65.78;227.19;345.39
Manocalzati;15064046;Comune;3.198;785,502;1.178,44;66.66;245.62;368.49
Marzano di Nola;15064047;Comune;1.700;584,142;666,722;87.61;343.61;392.19
Melito Irpino;15064048;Comune;1.927;341,781;460,621;74.2;177.36;239.04
Mercogliano;15064049;Comune;12.369;2.187,08;4.170,66;52.44;176.82;337.19
Mirabella Eclano;15064050;Comune;7.573;1.619,18;2.781,25;58.22;213.81;367.26
Montaguto;15064051;Comune;408;90,567;120,467;75.18;221.98;295.26
Montecalvo Irpino;15064052;Comune;3.591;533,622;906,052;58.9;148.6;252.31
Montefalcione;15064053;Comune;3.285;668,268;1.094,91;61.03;203.43;333.31
Monteforte Irpino;15064054;Comune;11.933;2.126,52;3.664,68;58.03;178.21;307.1
Montefredane;15064055;Comune;2.239;471,43;778,19;60.58;210.55;347.56
Montefusco;15064056;Comune;1.304;288,037;398,357;72.31;220.89;305.49
Montella;15064057;Comune;7.692;1.838,78;2.537,31;72.47;239.05;329.86
Montemarano;15064058;Comune;2.809;493,926;841,546;58.69;175.84;299.59
Montemiletto;15064059;Comune;5.288;886,267;1.542,31;57.46;167.6;291.66
Monteverde;15064060;Comune;771;148,581;219,531;67.68;192.71;284.74
Montoro;15064121;Comune;19.776;5.398,31;6.900,49;78.23;272.97;348.93
Morra De Sanctis;15064063;Comune;1.231;170,465;414,655;41.11;138.48;336.84
Moschiano;15064064;Comune;1.664;316,769;549,959;57.6;190.37;330.5
Mugnano del Cardinale;15064065;Comune;5.270;995,942;1.728,10;57.63;188.98;327.91
Nusco;15064066;Comune;4.153;558,925;1.056,79;52.89;134.58;254.46
Ospedaletto d'Alpinolo;15064067;Comune;2.123;420,945;741,345;56.78;198.28;349.2
Pago del Vallo di Lauro;15064068;Comune;1.798;348,375;570,315;61.08;193.76;317.19
Parolise;15064069;Comune;661;150,214;221,234;67.9;227.25;334.7
Paternopoli;15064070;Comune;2.377;442,845;643,905;68.77;186.3;270.89
Petruro Irpino;15064071;Comune;337;30,521;53,801;56.73;90.57;159.65
Pietradefusi;15064072;Comune;2.320;356,282;649,882;54.82;153.57;280.12
Pietrastornina;15064073;Comune;1.532;286,234;415,474;68.89;186.84;271.2
Prata di Principato Ultra;15064074;Comune;3.040;454,906;1.042,65;43.63;149.64;342.98
Pratola Serra;15064075;Comune;3.866;686,423;1.339,34;51.25;177.55;346.44
Quadrelle;15064076;Comune;1.877;365,587;526,727;69.41;194.77;280.62
Quindici;15064077;Comune;1.914;371,466;655,666;56.65;194.08;342.56
Rocca San Felice;15064079;Comune;835;84,681;220,251;38.45;101.41;263.77
Roccabascerana;15064078;Comune;2.370;675,535;848,195;79.64;285.04;357.89
Rotondi;15064080;Comune;3.654;904,09;1.599,23;56.53;247.42;437.67
Salza Irpina;15064081;Comune;742;147,895;225,075;65.71;199.32;303.34
San Mango sul Calore;15064082;Comune;1.169;220,008;301,968;72.86;188.2;258.31
San Martino Valle Caudina;15064083;Comune;4.892;1.082,43;1.617,81;66.91;221.27;330.71
San Michele di Serino;15064084;Comune;2.490;462,694;839,134;55.14;185.82;337
San Nicola Baronia;15064085;Comune;765;144,053;230,173;62.58;188.3;300.88
San Potito Ultra;15064086;Comune;1.535;304,649;473,989;64.27;198.47;308.79
San Sossio Baronia;15064087;Comune;1.598;216,755;360,955;60.05;135.64;225.88
Santa Lucia di Serino;15064088;Comune;1.400;268,225;449,345;59.69;191.59;320.96
Santa Paolina;15064093;Comune;1.191;188,299;341,119;55.2;158.1;286.41
Sant'Andrea di Conza;15064089;Comune;1.482;323,243;429,643;75.24;218.11;289.91
Sant'Angelo a Scala;15064091;Comune;737;110,811;203,711;54.4;150.35;276.41
Sant'Angelo all'Esca;15064090;Comune;801;178,766;274,576;65.11;223.18;342.79
Sant'Angelo dei Lombardi;15064092;Comune;4.207;532,54;1.378,98;38.62;126.58;327.78
Santo Stefano del Sole;15064095;Comune;2.169;391,089;621,949;62.88;180.31;286.74
Savignano Irpino;15064096;Comune;1.128;154,131;286,971;53.71;136.64;254.41
Scampitella;15064097;Comune;1.190;198,753;321,553;61.81;167.02;270.21
Senerchia;15064098;Comune;804;91,41;158,97;57.5;113.69;197.72
Serino;15064099;Comune;6.968;1.377,74;2.483,44;55.48;197.72;356.41
Sirignano;15064100;Comune;2.863;932,292;1.006,49;92.63;325.63;351.55
Solofra;15064101;Comune;12.470;2.390,78;4.052,02;59;191.72;324.94
