Comune;Istat;Dato riferito a;Popolazione (n. abitanti);RD(t);RU(t);Percentuale RD;Pro capite RD (kg/ab.*anno);Pro capite RU (kg/ab.*anno)
Airola;15062001;Comune;8.390;2.136,29;2.915,03;73.29;254.62;347.44
Amorosi;15062002;Comune;2.749;633,445;969,915;65.31;230.43;352.82
Apice;15062003;Comune;5.578;1.619,28;1.919,04;84.38;290.3;344.04
Apollosa;15062004;Comune;2.667;597,184;728,684;81.95;223.92;273.22
Arpaia;15062005;Comune;2.046;521,774;775,574;67.28;255.02;379.07
Arpaise;15062006;Comune;760;194,217;239,857;80.97;255.55;315.6
Baselice;15062007;Comune;2.313;431,17;536,11;80.43;186.41;231.78
Benevento;15062008;Comune;59.789;16.696,30;25.284,32;66.03;279.25;422.89
Bonea;15062009;Comune;1.415;399,89;464,75;86.04;282.61;328.45
Bucciano;15062010;Comune;2.098;494,35;754,55;65.52;235.63;359.65
Buonalbergo;15062011;Comune;1.677;393,439;503,399;78.16;234.61;300.18
Calvi;15062012;Comune;2.637;337,38;641,04;52.63;127.94;243.09
Campolattaro;15062013;Comune;1.033;165,86;271,76;61.03;160.56;263.08
Campoli del Monte Taburno;15062014;Comune;1.649;303,562;478,982;63.38;184.09;290.47
Casalduni;15062015;Comune;1.317;304,789;387,216;78.71;231.43;294.01
Castelfranco in Miscano;15062016;Comune;864;166,41;212,55;78.29;192.6;246.01
Castelpagano;15062017;Comune;1.461;289,846;373,546;77.59;198.39;255.68
Castelpoto;15062018;Comune;1.197;262,17;406,01;64.57;219.02;339.19
Castelvenere;15062019;Comune;2.652;596,039;733,639;81.24;224.75;276.64
Castelvetere in Val Fortore;15062020;Comune;1.165;119,622;174,302;68.63;102.68;149.62
Cautano;15062021;Comune;2.017;537,063;615,283;87.29;266.27;305.05
Ceppaloni;15062022;Comune;3.370;574,92;1.248,38;46.05;170.6;370.44
Cerreto Sannita;15062023;Comune;3.852;759,5;1.092,20;69.54;197.17;283.54
Circello;15062024;Comune;2.322;489,997;601,777;81.43;211.02;259.16
Colle Sannita;15062025;Comune;2.387;482,065;690,425;69.82;201.95;289.24
Cusano Mutri;15062026;Comune;4.028;960,536;1.053,52;91.17;238.46;261.55
Dugenta;15062027;Comune;2.929;621,176;800,936;77.56;212.08;273.45
Durazzano;15062028;Comune;2.201;716,857;816,077;87.84;325.7;370.78
Faicchio;15062029;Comune;3.637;663,84;857,86;77.38;182.52;235.87
Foglianise;15062030;Comune;3.289;583,618;961,398;60.71;177.45;292.31
Foiano di Val Fortore;15062031;Comune;1.403;203,02;330,64;61.4;144.7;235.67
Forchia;15062032;Comune;1.221;362,36;442,2;81.94;296.77;362.16
Fragneto l'Abate;15062033;Comune;1.020;144,753;295,373;49.01;141.91;289.58
Fragneto Monforte;15062034;Comune;1.840;353,103;519,863;67.92;191.9;282.53
Frasso Telesino;15062035;Comune;2.260;565,45;1.206,63;46.86;250.2;533.91
Ginestra degli Schiavoni;15062036;Comune;479;103,027;115,067;89.54;215.09;240.22
Guardia Sanframondi;15062037;Comune;4.920;1.376,68;1.655,76;83.14;279.81;336.54
Limatola;15062038;Comune;4.095;804,52;1.631,90;49.3;196.46;398.51
Melizzano;15062039;Comune;1.811;354,247;653,927;54.17;195.61;361.09
Moiano;15062040;Comune;4.099;1.084,95;1.336,35;81.19;264.69;326.02
Molinara;15062041;Comune;1.593;351,987;531,787;66.19;220.96;333.83
Montefalcone di Val Fortore;15062042;Comune;1.455;264,238;335,118;78.85;181.61;230.32
Montesarchio;15062043;Comune;13.508;3.961,78;5.153,68;76.87;293.29;381.53
Morcone;15062044;Comune;4.897;1.044,15;1.361,71;76.68;213.22;278.07
Paduli;15062045;Comune;3.881;686,68;1.001,80;68.54;176.93;258.13
Pago Veiano;15062046;Comune;2.410;659,604;844,964;78.06;273.69;350.61
Pannarano;15062047;Comune;2.145;495,27;642,87;77.04;230.9;299.71
