Comune;Istat;Dato riferito a;Popolazione (n. abitanti);RD(t);RU(t);Percentuale RD;Pro capite RD (kg/ab.*anno);Pro capite RU (kg/ab.*anno)
Ailano;15061001;Comune;1.330;280,211;396,911;70.6;210.68;298.43
Alife;15061002;Comune;7.638;1.346,02;2.368,28;56.84;176.23;310.07
Alvignano;15061003;Comune;4.742;1.208,65;1.691,97;71.43;254.88;356.81
Arienzo;15061004;Comune;5.374;1.392,39;1.927,59;72.23;259.1;358.69
Aversa;15061005;Comune;52.794;16.171,38;28.662,36;56.42;306.31;542.91
Baia e Latina;15061006;Comune;2.160;369,54;672,82;54.92;171.08;311.49
Bellona;15061007;Comune;6.106;1.338,97;2.622,13;51.06;219.29;429.43
Caianello;15061008;Comune;1.865;421,552;809,252;52.09;226.03;433.92
Caiazzo;15061009;Comune;5.489;997,965;1.631,57;61.17;181.81;297.24
Calvi Risorta;15061010;Comune;5.624;1.360,02;2.397,50;56.73;241.82;426.3
Camigliano;15061011;Comune;1.968;516,509;746,309;69.21;262.45;379.22
Cancello ed Arnone;15061012;Comune;5.715;47,984;2.682,34;1.79;8.4;469.35
Capodrise;15061013;Comune;10.133;3.093,06;4.392,80;70.41;305.25;433.51
Capriati a Volturno;15061014;Comune;1.538;181,96;423,24;42.99;118.31;275.19
Capua;15061015;Comune;18.484;4.153,96;8.604,66;48.28;224.73;465.52
Carinaro;15061016;Comune;7.104;2.180,50;3.513,06;62.07;306.94;494.52
Carinola;15061017;Comune;7.248;1.550,04;3.053,42;50.76;213.86;421.28
Casagiove;15061018;Comune;13.559;4.115,72;6.117,50;67.28;303.54;451.18
Casal di Principe;15061019;Comune;21.482;5.541,45;9.359,27;59.21;257.96;435.68
Casaluce;15061020;Comune;9.893;1.373,72;4.351,80;31.57;138.86;439.89
Casapesenna;15061103;Comune;7.066;1.884,48;3.394,06;55.52;266.7;480.34
Casapulla;15061021;Comune;8.597;1.920,06;2.987,24;64.28;223.34;347.47
Caserta;15061022;Comune;75.561;19.601,33;37.300,74;52.55;259.41;493.65
Castel Campagnano;15061023;Comune;1.528;446,37;650,15;68.66;292.13;425.49
Castel di Sasso;15061024;Comune;1.143;175,93;291,11;60.43;153.92;254.69
Castel Morrone;15061026;Comune;3.790;798,343;1.291,26;61.83;210.64;340.7
Castel Volturno;15061027;Comune;25.847;6.922,88;20.051,90;34.52;267.84;775.79
Castello del Matese;15061025;Comune;1.436;293,505;416,605;70.45;204.39;290.11
Cellole;15061102;Comune;7.937;3.927,08;6.376,48;61.59;494.78;803.39
Cervino;15061028;Comune;5.011;1.454,98;1.893,34;76.85;290.36;377.84
Cesa;15061029;Comune;9.039;1.599,50;3.440,92;46.48;176.96;380.67
Ciorlano;15061030;Comune;433;6,21;89,93;6.91;14.34;207.69
Conca della Campania;15061031;Comune;1.196;293,171;407,291;71.98;245.13;340.54
Curti;15061032;Comune;7.077;1.593,51;3.056,20;52.14;225.17;431.85
Dragoni;15061033;Comune;2.119;615,213;816,393;75.36;290.33;385.27
Falciano del Massico;15061101;Comune;3.621;1.151,29;1.660,63;69.33;317.95;458.61
Fontegreca;15061034;Comune;792;34,212;196,352;17.42;43.2;247.92
Formicola;15061035;Comune;1.457;312,87;494,11;63.32;214.74;339.13
Francolise;15061036;Comune;4.860;1.339,98;2.029,90;66.01;275.72;417.68
Frignano;15061037;Comune;9.131;2.138,46;3.917,58;54.59;234.2;429.04
Gallo Matese;15061038;Comune;537;34,803;135,603;25.67;64.81;252.52
Galluccio;15061039;Comune;2.152;549,729;720,069;76.34;255.45;334.6
Giano Vetusto;15061040;Comune;655;146,595;227,995;64.3;223.81;348.08
Gioia Sannitica;15061041;Comune;3.554;649,636;1.016,68;63.9;182.79;286.07
Grazzanise;15061042;Comune;7.041;1.567,36;3.070,50;51.05;222.6;436.09
Gricignano di Aversa;15061043;Comune;12.296;2.304,48;6.698,26;34.4;187.42;544.75
Letino;15061044;Comune;703;45,587;156,187;29.19;64.85;222.17
Liberi;15061045;Comune;1.135;294,09;406,83;72.29;259.11;358.44
Lusciano;15061046;Comune;15.556;3.662,11;6.482,63;56.49;235.41;416.73
Macerata Campania;15061047;Comune;10.507;1.864,09;3.946,67;47.23;177.41;375.62
Maddaloni;15061048;Comune;39.026;6.177,86;16.867,94;36.62;158.3;432.22
Marcianise;15061049;Comune;39.792;13.735,10;17.661,66;77.77;345.17;443.85
Marzano Appio;15061050;Comune;2.224;330,691;733,991;45.05;148.69;330.03
Mignano Monte Lungo;15061051;Comune;3.160;749,925;1.030,39;72.78;237.32;326.07
Mondragone;15061052;Comune;28.797;5.104,37;13.274,67;38.45;177.25;460.97
Orta di Atella;15061053;Comune;27.311;2.970,64;8.691,68;34.18;108.77;318.25
Parete;15061054;Comune;11.666;3.915,71;4.899,15;79.93;335.65;419.95
Pastorano;15061055;Comune;3.057;1.032,83;1.821,85;56.69;337.86;595.96
Piana di Monte Verna;15061056;Comune;2.312;518,399;844,739;61.37;224.22;365.37
Piedimonte Matese;15061057;Comune;10.986;2.799,48;4.101,20;68.26;254.82;373.31
Pietramelara;15061058;Comune;4.692;958,997;1.926,14;49.79;204.39;410.52
Pietravairano;15061059;Comune;2.965;602,326;933,046;64.55;203.15;314.69
Pignataro Maggiore;15061060;Comune;5.964;1.429,10;2.515,26;56.82;239.62;421.74
Pontelatone;15061061;Comune;1.680;305,04;729,74;41.8;181.57;434.37
Portico di Caserta;15061062;Comune;7.903;1.209,06;2.757,68;43.84;152.99;348.94
Prata Sannita;15061063;Comune;1.463;177,581;370,141;47.98;121.38;253
Pratella;15061064;Comune;1.533;152,698;519,358;29.4;99.61;338.79
Presenzano;15061065;Comune;1.778;421,688;599,588;70.33;237.17;337.23
Raviscanina;15061066;Comune;1.306;50,568;337,088;15;38.72;258.11
Recale;15061067;Comune;7.710;1.908,66;3.031,22;62.97;247.56;393.15
Riardo;15061068;Comune;2.319;501,618;979,158;51.23;216.31;422.23
Rocca d'Evandro;15061069;Comune;3.178;617,775;868,335;71.14;194.39;273.23
Roccamonfina;15061070;Comune;3.399;886,109;1.341,97;66.03;260.7;394.81
Roccaromana;15061071;Comune;858;204,23;309,51;65.98;238.03;360.73
Rocchetta e Croce;15061072;Comune;446;92,228;122,888;75.05;206.79;275.53
Ruviano;15061073;Comune;1.617;375,43;548,01;68.51;232.18;338.91
San Cipriano d'Aversa;15061074;Comune;13.668;3.733,85;5.254,95;71.05;273.18;384.47
San Felice a Cancello;15061075;Comune;17.462;4.504,73;6.617,01;68.08;257.97;378.94
San Gregorio Matese;15061076;Comune;946;182,985;272,645;67.11;193.43;288.21
San Marcellino;15061077;Comune;14.251;2.113,25;6.243,99;33.84;148.29;438.14
San Marco Evangelista;15061104;Comune;6.577;2.141,84;3.207,18;66.78;325.66;487.64
San Nicola la Strada;15061078;Comune;22.753;3.644,29;8.869,47;41.09;160.17;389.82
San Pietro Infine;15061079;Comune;921;153,25;258,19;59.36;166.4;280.34
San Potito Sannitico;15061080;Comune;1.922;301,609;641,129;47.04;156.92;333.57
San Prisco;15061081;Comune;12.333;2.799,95;4.724,29;59.27;227.03;383.06
San Tammaro;15061085;Comune;5.529;1.651,56;2.612,80;63.21;298.71;472.56
Santa Maria a Vico;15061082;Comune;14.004;3.838,89;4.933,17;77.82;274.13;352.27
Santa Maria Capua Vetere;15061083;Comune;32.893;8.128,41;14.880,61;54.62;247.12;452.39
Santa Maria la Fossa;15061084;Comune;2.681;686,04;1.079,38;63.56;255.89;402.6
Sant'Angelo d'Alife;15061086;Comune;2.233;313,37;542,99;57.71;140.34;243.17
Sant'Arpino;15061087;Comune;14.606;3.558,67;5.706,99;62.36;243.64;390.73
Sessa Aurunca;15061088;Comune;21.252;4.750,48;8.880,42;53.49;223.53;417.86
Sparanise;15061089;Comune;7.376;1.384,73;2.430,07;56.98;187.73;329.46
Succivo;15061090;Comune;8.476;1.645,96;3.189,34;51.61;194.19;376.28
Teano;15061091;Comune;12.303;2.371,70;4.093,36;57.94;192.77;332.71
Teverola;15061092;Comune;14.570;2.659,35;6.468,01;41.12;182.52;443.93
Tora e Piccilli;15061093;Comune;872;131,69;324,25;40.61;151.02;371.85
Trentola-Ducenta;15061094;Comune;19.844;5.738,81;7.597,53;75.54;289.2;382.86
Vairano Patenora;15061095;Comune;6.515;2.011,83;2.828,59;71.12;308.8;434.17
Valle Agricola;15061096;Comune;853;200,791;279,591;71.82;235.39;327.77
Valle di Maddaloni;15061097;Comune;2.726;741,444;1.164,26;63.68;271.99;427.1
Villa di Briano;15061098;Comune;7.094;1.777,58;3.145,36;56.51;250.58;443.38
Villa Literno;15061099;Comune;12.184;2.177,64;6.361,18;34.23;178.73;522.09
Vitulazio;15061100;Comune;7.436;1.327,24;2.948,54;45.01;178.49;396.52
