Comune;Istat;Dato riferito a;Popolazione (n. abitanti);RD(t);RU(t);Percentuale RD;Pro capite RD (kg/ab.*anno);Pro capite RU (kg/ab.*anno)
Acerno;15065001;Comune;2.715;683,175;1.009,60;67.67;251.63;371.86
Agropoli;15065002;Comune;21.874;7.052,94;12.521,46;56.33;322.43;572.44
Albanella;15065003;Comune;6.394;1.409,60;1.768,04;79.73;220.46;276.52
Alfano;15065004;Comune;1.011;116,1;183,18;63.38;114.84;181.19
Altavilla Silentina;15065005;Comune;7.083;1.393,59;1.862,47;74.82;196.75;262.95
Amalfi;15065006;Comune;5.102;2.910,18;3.906,00;74.51;570.4;765.58
Angri;15065007;Comune;34.126;7.222,13;15.176,27;47.59;211.63;444.71
Aquara;15065008;Comune;1.476;283,508;391,218;72.47;192.08;265.05
Ascea;15065009;Comune;5.855;2.542,70;3.422,44;74.29;434.28;584.53
Atena Lucana;15065010;Comune;2.402;914,666;1.251,58;73.08;380.79;521.06
Atrani;15065011;Comune;869;353,82;404,14;87.55;407.16;465.06
Auletta;15065012;Comune;2.264;457,884;611,404;74.89;202.25;270.05
Baronissi;15065013;Comune;17.051;5.716,53;6.814,53;83.89;335.26;399.66
Battipaglia;15065014;Comune;51.005;12.386,32;20.298,28;61.02;242.85;397.97
Bellizzi;15065158;Comune;13.619;4.666,14;5.706,60;81.77;342.62;419.02
Bellosguardo;15065015;Comune;780;161,82;242,3;66.78;207.46;310.64
Bracigliano;15065016;Comune;5.524;1.666,98;2.233,84;74.62;301.77;404.39
Buccino;15065017;Comune;4.889;726,29;1.194,97;60.78;148.56;244.42
Buonabitacolo;15065018;Comune;2.554;415,623;655,513;63.4;162.73;256.66
Caggiano;15065019;Comune;2.676;382,564;632,464;60.49;142.96;236.35
Calvanico;15065020;Comune;1.481;341,29;528,79;64.54;230.45;357.05
Camerota;15065021;Comune;7.107;2.219,70;4.153,30;53.44;312.33;584.4
Campagna;15065022;Comune;17.169;3.614,06;5.269,24;68.59;210.5;306.9
Campora;15065023;Comune;391;23,88;60,34;39.58;61.07;154.32
Cannalonga;15065024;Comune;1.040;141,151;239,131;59.03;135.72;229.93
Capaccio;15065025;Comune;22.802;9.429,78;13.518,99;69.75;413.55;592.89
Casal Velino;15065028;Comune;5.322;2.140,11;2.912,45;73.48;402.13;547.25
Casalbuono;15065026;Comune;1.168;123,026;243,886;50.44;105.33;208.81
Casaletto Spartano;15065027;Comune;1.376;137,01;263,029;52.09;99.57;191.15
Caselle in Pittari;15065029;Comune;1.946;295,23;402,09;73.42;151.71;206.62
Castel San Giorgio;15065034;Comune;13.784;3.938,92;5.275,60;74.66;285.76;382.73
Castel San Lorenzo;15065035;Comune;2.392;435,41;545,89;79.76;182.03;228.21
Castelcivita;15065030;Comune;1.653;199,15;359,87;55.34;120.48;217.71
Castellabate;15065031;Comune;9.233;3.253,05;6.341,53;51.3;352.33;686.83
Castelnuovo Cilento;15065032;Comune;2.819;835,922;988,462;84.57;296.53;350.64
Castelnuovo di Conza;15065033;Comune;598;95,977;161,257;59.52;160.5;269.66
Castiglione del Genovesi;15065036;Comune;1.365;271,391;378,771;71.65;198.82;277.49
Cava de' Tirreni;15065037;Comune;53.130;14.655,57;21.630,59;67.75;275.84;407.13
Celle di Bulgheria;15065038;Comune;1.861;341,32;525,92;64.9;183.41;282.6
Centola;15065039;Comune;5.153;2.034,88;3.087,44;65.91;394.89;599.15
Ceraso;15065040;Comune;2.310;419,239;620,259;67.59;181.49;268.51
Cetara;15065041;Comune;2.080;787,24;1.080,78;72.84;378.48;519.61
Cicerale;15065042;Comune;1.194;259,512;421,092;61.63;217.35;352.67
Colliano;15065043;Comune;3.590;624,96;938,26;66.61;174.08;261.35
Conca dei Marini;15065044;Comune;673;305,35;419,19;72.84;453.71;622.87
Controne;15065045;Comune;867;138,651;231,551;59.88;159.92;267.07
Contursi Terme;15065046;Comune;3.332;674,91;1.014,97;66.5;202.55;304.61
Corbara;15065047;Comune;2.520;607,976;973,316;62.46;241.26;386.24
Corleto Monforte;15065048;Comune;567;135,15;174,26;77.56;238.36;307.34
Cuccaro Vetere;15065049;Comune;566;97,76;122,4;79.87;172.72;216.25
Eboli;15065050;Comune;40.058;8.484,55;14.802,31;57.32;211.81;369.52
Felitto;15065051;Comune;1.227;229,71;376,35;61.04;187.21;306.72
Fisciano;15065052;Comune;13.967;4.352,52;6.334,28;68.71;311.63;453.52
Furore;15065053;Comune;756;200,971;334,031;60.17;265.84;441.84
Futani;15065054;Comune;1.170;174,174;258,334;67.42;148.87;220.8
Giffoni Sei Casali;15065055;Comune;5.139;1.302,11;1.684,99;77.28;253.38;327.88
Giffoni Valle Piana;15065056;Comune;11.899;2.915,34;4.730,40;61.63;245.01;397.55
Gioi;15065057;Comune;1.230;125,92;407,74;30.88;102.37;331.5
Giungano;15065058;Comune;1.321;317,556;444,136;71.5;240.39;336.21
Ispani;15065059;Comune;983;267,12;489,64;54.55;271.74;498.11
Laureana Cilento;15065060;Comune;1.180;212,392;339,272;62.6;179.99;287.52
Laurino;15065061;Comune;1.475;212,02;334,8;63.33;143.74;226.98
Laurito;15065062;Comune;782;93,15;166,35;56;119.12;212.72
Laviano;15065063;Comune;1.373;251,982;388,542;64.85;183.53;282.99
Lustra;15065064;Comune;1.043;238,269;336,649;70.78;228.45;322.77
Magliano Vetere;15065065;Comune;673;103,963;164,843;63.07;154.48;244.94
Maiori;15065066;Comune;5.570;2.559,38;3.433,42;74.54;459.49;616.41
Mercato San Severino;15065067;Comune;22.335;5.197,19;8.883,95;58.5;232.69;397.76
Minori;15065068;Comune;2.718;1.147,83;1.411,35;81.33;422.31;519.26
Moio della Civitella;15065069;Comune;1.859;395,843;514,843;76.89;212.93;276.95
Montano Antilia;15065070;Comune;2.019;199,077;396,977;50.15;98.6;196.62
Monte San Giacomo;15065075;Comune;1.550;234,823;393,593;59.66;151.5;253.93
Montecorice;15065071;Comune;2.681;1.105,63;1.659,59;66.62;412.39;619.02
Montecorvino Pugliano;15065072;Comune;10.863;2.415,93;3.698,91;65.31;222.4;340.51
Montecorvino Rovella;15065073;Comune;12.682;2.201,33;3.161,58;69.63;173.58;249.3
Monteforte Cilento;15065074;Comune;545;62,46;84,74;73.71;114.61;155.49
Montesano sulla Marcellana;15065076;Comune;6.544;1.045,12;1.824,88;57.27;159.71;278.86
Morigerati;15065077;Comune;653;163,23;186,91;87.33;249.97;286.23
Nocera Inferiore;15065078;Comune;45.784;10.526,08;19.563,96;53.8;229.91;427.31
Nocera Superiore;15065079;Comune;24.369;6.437,21;8.607,67;74.78;264.16;353.22
Novi Velia;15065080;Comune;2.292;340,168;455,148;74.74;148.42;198.58
Ogliastro Cilento;15065081;Comune;2.250;656,71;1.012,33;64.87;291.87;449.92
Olevano sul Tusciano;15065082;Comune;6.743;1.409,49;1.944,03;72.5;209.03;288.3
Oliveto Citra;15065083;Comune;3.739;709,547;1.261,87;56.23;189.77;337.49
Omignano;15065084;Comune;1.645;402,681;589,701;68.29;244.79;358.48
Orria;15065085;Comune;1.068;127,07;248,69;51.1;118.98;232.86
Ottati;15065086;Comune;606;91,06;135,4;67.25;150.26;223.43
Padula;15065087;Comune;5.377;1.214,66;1.811,81;67.04;225.9;336.95
Pagani;15065088;Comune;35.537;3.382,75;14.175,53;23.86;95.19;398.89
Palomonte;15065089;Comune;3.931;327,568;710,248;46.12;83.33;180.68
Pellezzano;15065090;Comune;11.101;2.483,79;3.627,79;68.47;223.74;326.8
Perdifumo;15065091;Comune;1.769;361,255;487,995;74.03;204.21;275.86
Perito;15065092;Comune;898;149,32;226,26;65.99;166.28;251.96
Pertosa;15065093;Comune;683;123,311;191,781;64.3;180.54;280.79
Petina;15065094;Comune;1.110;265,106;325,016;81.57;238.83;292.81
Piaggine;15065095;Comune;1.304;255,105;363,165;70.24;195.63;278.5
Pisciotta;15065096;Comune;2.628;1.004,83;1.537,71;65.35;382.36;585.13
Polla;15065097;Comune;5.273;1.434,02;2.130,78;67.3;271.96;404.09
Pollica;15065098;Comune;2.363;1.843,11;2.386,11;77.24;779.99;1009.78
Pontecagnano Faiano;15065099;Comune;26.242;5.645,96;11.516,06;49.03;215.15;438.84
Positano;15065100;Comune;3.913;2.838,69;4.158,31;68.27;725.45;1062.69
Postiglione;15065101;Comune;2.090;311,893;556,033;56.09;149.23;266.04
Praiano;15065102;Comune;2.019;928,897;1.295,32;71.71;460.08;641.56
Prignano Cilento;15065103;Comune;1.068;148,517;279,517;53.13;139.06;261.72
