Trentola-Ducenta,Trentola Ducenta
Montesano sulla Mar,Montesano sulla Marcellana
Castellammare di St,Castellammare di Stabia
Sant'Andrea di Conz,Sant'Andrea di Conza
San Nicola la Strad,San Nicola la Strada
Gricignano di Avers,Gricignano di Aversa
San Potito Sannitic,San Potito Sannitico
Santa Maria Capua V,Santa Maria Capua Vetere
Castello di Cistern,Castello di Cisterna
San Pietro al Tanag,San Pietro al Tanagro
Sant'Egidio del Mon,Sant'Egidio del Monte Albino
Santa Croce del San,Santa Croce del Sannio
San Martino Valle C,San Martino Valle Caudina
Castiglione del Gen,Castiglione del Genovesi
San Bartolomeo in G,San Bartolomeo in Galdo
Campoli del Monte T,Campoli del Monte Taburno
Olevano sul Tuscian,Olevano sul Tusciano
Montecorvino Puglia,Montecorvino Pugliano
