S. GIORGIO DEL S.,San Giorgio del Sannio
 S. GIORGIO DEL SANNIO,San Giorgio del Sannio
S.LEUCIO DEL SANNIO,San Leucio del Sannio
VOLTURARA,VOLTURARA IRPINA
VOLTURARA IRP,VOLTURARA IRPINA
MONTEFORTE,MONTEFORTE IRPINO
SANATA MARIA LA CARITA',Santa Maria la Carità
SANTA MARIA LA CARITA',Santa Maria la Carità
CAPACCIO,Capaccio Paestum
 GUARDIA SANFRAMON.,Guardia Sanframondi
SECIGNANO DEGLI ALBURNI,SICIGNANO DEGLI ALBURNI
 COLLA SANNITA,Colle Sannita
MONTESANO,Montefano
SAN GIORGO A CREMNO,SAN GIORGIO A CREMANO
LAURENA CILENTO,LAUREANA CILENTO
S. ANGELO DEI LOMBARDI,Sant'Angelo dei Lombardi
MONTERCORVINO PUGLIANO,MONTECORVINO PUGLIANO
VALLO DELLA LUCANIAQ,VALLO DELLA LUCANIA
BUONABIATCOLO,BUONABITACOLO
CAVA DE'TIRRENI,CAVA DE' TIRRENI
ATENALUCANA,ATENA LUCANA
TORRE DELGRECO,TORRE DEL GRECO
SALA  CONSILINA,SALA CONSILINA
CAVA DE TIRRENI,CAVA DE' TIRRENI
CAVA DEI TIRRENI,CAVA DE' TIRRENI
 S. GIORGIO LA MOLARA,San Giorgio La Molara
 S. CROCE DEL SANNIO,Santa Croce del Sannio
SAN MARCO CASTELLABATE,CASTELLABATE
CASTELSANLORENZO,CASTEL SAN LORENZO
ACQUARA,Acquaro
 S. NICOLA MANFREDI,San Nicola Manfredi
S. LORENZO MAGGIORE,San Lorenzo Maggiore
DSB60 NOCERA INFERIORE,NOCERA INFERIORE
SANTARSENIO,Sant'Arsenio
 S. MARCO DEI CAVOTI,San Marco dei Cavoti
 PIETRAROIA,Pietraroja
SAN MARTINO,Borgo San Martino
NOCERA,Nocara
MUGNANO,Magnano
 S. SALVATORE TELESINO,San Salvatore Telesino
CAPRIGLIA,Capriglio
S. NICOLA MANFREDI,San Nicola Manfredi
S.ANGELO A CUPOLO,Sant'Angelo a Cupolo
