TRENTOLA-DUCENTA,Trentola Ducenta
SAN CIPRIANO D AVERSA,San Cipriano d'Aversa
SANT ANTONIO ABATE,Sant'Antonio Abate
SANTA MARIA LA CARITA,Santa Maria la Carità
OSPEDALETTO D ALPINOLO,Ospedaletto d'Alpinolo
SANT ANGELO DEI LOMBARDI,Sant'Angelo dei Lombardi
SANT ARPINO,Sant'Arpino
SANT ANDREA DI CONZA,Sant'Andrea di Conza
SANT AGATA DE  GOTI,Sant'Agata de' Goti
SANT EGIDIO DEL MONTE ALBINO,Sant'Egidio del Monte Albino
SANT AGNELLO,Sant'Agnello
SANT ANASTASIA,Sant'Anastasia
BARANO D ISCHIA,Barano d'Ischia
SANT ANGELO A SCALA,Sant'Angelo a Scala
CAPACCIO,Capaccio Paestum
TELESE,Telese Terme
TORTOLI,Tortolì
CONTURSI,Contursi Terme
SANT ANTIMO,Sant'Antimo
SANT ANGELO A CUPOLO,Sant'Angelo a Cupolo
VENARIA,Venaria Reale
SANT ANGELO ALL ESCA,Sant'Angelo all'Esca
