TRENTOLA-DUCENTA,Trentola Ducenta
SANT ANGELO A CUPOLO,Sant'Angelo a Cupolo
SANT ANGELO DEI LOMBARDI,Sant'Angelo dei Lombardi
SANT ANGELO D ALIFE,Sant'Angelo d'Alife
TELESE,Telese Terme
SANT ANASTASIA,Sant'Anastasia
CAPACCIO,Capaccio Paestum
SANTA MARIA LA CARITA,Santa Maria la Carità
SAN CIPRIANO D AVERSA,San Cipriano d'Aversa
SANT ANTIMO,Sant'Antimo
SANT ANTONIO ABATE,Sant'Antonio Abate
SANT AGNELLO,Sant'Agnello
SANT EGIDIO DEL MONTE ALBINO,Sant'Egidio del Monte Albino
OSPEDALETTO D ALPINOLO,Ospedaletto d'Alpinolo
SANT ANDREA DI CONZA,Sant'Andrea di Conza
SANT AGATA DE  GOTI,Sant'Agata de' Goti
CONTURSI,Contursi Terme
SANT ARCANGELO TRIMONTE,Sant'Arcangelo Trimonte
SANT ARSENIO,Sant'Arsenio
SANT ARPINO,Sant'Arpino
L AQUILA,L'Aquila
