Trentola-Ducenta,Trentola Ducenta
Santa Maria Capua V,Santa Maria Capua Vetere
Gricignano di Avers,Gricignano di Aversa
Sant'Andrea di Conz,Sant'Andrea di Conza
San Potito Sannitic,San Potito Sannitico
Montesano sulla Mar,Montesano sulla Marcellana
San Nicola la Strad,San Nicola la Strada
Castellammare di St,Castellammare di Stabia
Olevano sul Tuscian,Olevano sul Tusciano
San Bartolomeo in G,San Bartolomeo in Galdo
Castiglione del Gen,Castiglione del Genovesi
San Martino Valle C,San Martino Valle Caudina
Castello di Cistern,Castello di Cisterna
San Pietro al Tanag,San Pietro al Tanagro
Sant'Egidio del Mon,Sant'Egidio del Monte Albino
Campoli del Monte T,Campoli del Monte Taburno
Santa Croce del San,Santa Croce del Sannio
Montecorvino Puglia,Montecorvino Pugliano
