SANT ANTONIO ABATE,Sant'Antonio Abate
TRENTOLA-DUCENTA,Trentola Ducenta
CAPACCIO,Capaccio Paestum
TELESE,Telese Terme
SANTA MARIA LA CARITA,Santa Maria la Carità
SANT ANGELO A CUPOLO,Sant'Angelo a Cupolo
SANT AGATA DE  GOTI,Sant'Agata de' Goti
SANT ANGELO D ALIFE,Sant'Angelo d'Alife
SANT ANGELO DEI LOMBARDI,Sant'Angelo dei Lombardi
SANT ARCANGELO TRIMONTE,Sant'Arcangelo Trimonte
SANT ARPINO,Sant'Arpino
SAN CIPRIANO D AVERSA,San Cipriano d'Aversa
SANT ANASTASIA,Sant'Anastasia
OSPEDALETTO D ALPINOLO,Ospedaletto d'Alpinolo
SANT ANDREA DI CONZA,Sant'Andrea di Conza
SANT AGNELLO,Sant'Agnello
L AQUILA,L'Aquila
SANT ANTIMO,Sant'Antimo
CONTURSI,Contursi Terme
SANT ARSENIO,Sant'Arsenio
SANT EGIDIO DEL MONTE ALBINO,Sant'Egidio del Monte Albino
