CAVA DÈ TIRRENI,CAVA DE' TIRRENI
CAVA DEI TIRRENI,CAVA DE' TIRRENI
POGGIO MARINO,Poggiomarino
MONTE SARCHIO,MONTESARCHIO
CAPACCIO,Capaccio Paestum
CASETEL SAN GIORGIO,CASTEL SAN GIORGIO
FONTANA ROSA,FONTANAROSA
S.CIPRIANO D'AVERSA,SAN CIPRIANO D'AVERSA
GRICIGNANO D'AVERSA,Gricignano di Aversa
S.GIORGIO A CREMANO,SAN GIORGIO A CREMANO
CASTEL VENERE,Castelvenere
MONTE MILETTO,Montemiletto
MONTE CALVO IRPINO,MONTECALVO IRPINO
PORTICO,PORTICI
PONTE CAGNANO FAIANO,Pontecagnano Faiano
S. MARCO EVANGELISTA,San Marco Evangelista
CAMPO LATTARO,Campolattaro
SANT'ANGELO DEI LOMARDI,SANT'ANGELO DEI LOMBARDI
ROCCA PIEMONTE,Roccapiemonte
VALLE SACCARDA,Vallesaccarda
GUARDIA SANFRA MONDI,Guardia Sanframondi
FRATTA MAGGIORE,Frattamaggiore
CASALVELINO,Casal Velino
SANTA MARIA LA CARITA',Santa Maria la Carità
CASTEL PAGANO,Castelpagano
SAN NICOLA  LA STRADA,San Nicola la Strada
MONTE CORVINO ROVELLA,Montecorvino Rovella
CASTEL FRANCI,Castelfranci
ROCCA BASCERANA,Roccabascerana
S.MARIA CAPUA VETERE,Santa Maria Capua Vetere
PONTE LANDOLFO,Pontelandolfo
FRATTA MINORE,Frattaminore
MARIGLIA NELLA,Mariglianella
S. EGIDIO DEL MONTE ALBINO,Sant'Egidio del Monte Albino
MONTE FREDANE,Montefredane
GROTTA MINARDA,Grottaminarda
