contursi,Contursi Terme
montoro superiore,Nocera Superiore
san cipriano d aversa,San Cipriano d'Aversa
sant agata de  goti,Sant'Agata de' Goti
sant anastasia,Motta Sant'Anastasia
sant angelo a cupolo,Sant'Angelo a Cupolo
sant angelo dei lombardi,Sant'Angelo dei Lombardi
sant antimo,Sant'Antimo
sant antonio abate,Sant'Antonio Abate
sant arpino,Arpino
sant egidio del monte albino,Sant'Egidio del Monte Albino
santa maria la carita,Santa Maria la Carità
telese,Telese Terme
trentola-ducenta,Trentola Ducenta
