s. giorgio del s.,San Giorgio a Liri
castelvetere v.f.,Castelvenere
colla sannita,Colle Sannita
foiano v.f.,Dolianova
guardia sanframon.,Guardia Sanframondi
i^ traversa  s. giorgio del,Torre San Giorgio
montefalcone v.f.,Montefalcione
pietraroia,Pietraroja
s. agata de' goti,Sant'Agata de' Goti
s. angelo a cupolo,Sant'Angelo a Cupolo
s. bartolomeo in g.,San Bartolomeo in Galdo
s. croce del sannio,Morrone del Sannio
s. giorgio del sannio,San Giorgio del Sannio
s. giorgio la molara,San Giorgio La Molara
s. lorenzello,San Lorenzello
s. lupo,San Lupo
s. marco dei cavoti,San Marco dei Cavoti
s. nicola manfredi,San Nicola Manfredi
s. salvatore t.,Casavatore
s. salvatore telesino,San Salvatore Telesino
acquara,Acquaro
atenalucana,Atena Lucana
beltiglio di ceppaloni,Castiglione Olona
buonabiatcolo,Buonabitacolo
camerota licusati,Camerata Picena
capaccio,Calascio
capriglia,Capriglio
castelsanlorenzo,Castel San Lorenzo
cava de tirreni,Cava de' Tirreni
cava de'tirreni,Cava de' Tirreni
cava dei tirreni,Cava de' Tirreni
dsb60 nocera inferiore,Nocera Inferiore
lancusi,Lanusei
laurena cilento,Laureana Cilento
monteforte,Montecorice
montercorvino pugliano,Montecorvino Pugliano
montesano,Montefano
montoro inferiore,Nocera Inferiore
montoro superiore,Nocera Superiore
mugnano,Magnano
nocera,Nocara
non specificato,Monserrato
poderia,Paderna
s. angelo dei lombardi,Sant'Angelo dei Lombardi
s. lorenzo maggiore,San Lorenzo Maggiore
s. marco dei c.,Marostica
s.angelo a cupolo,Sant'Angelo a Cupolo
s.angelo a scala,Sant'Angelo a Scala
s.leucio del sannio,San Leucio del Sannio
sala  consilina,Sala Consilina
san gennarello di ottaviano,San Gennaro Vesuviano
san giorgo a cremno,San Giorgio a Cremano
san marco castellabate,San Mauro Castelverde
san martino,San Massimo
sanata maria la carita',Santa Maria la Carità
sant'egidio di montalbino,Sant'Egidio del Monte Albino
santa maria la carita',Santa Maria la Carità
santarsenio,Sant'Arsenio
secignano degli alburni,Sicignano degli Alburni
torre delgreco,Torre del Greco
vallo della lucaniaq,Vallo della Lucania
via a. e m. cirillo gia' via minutella 33,Barberino Tavarnelle
volturara,Volterra
volturara irp,Volturara Irpina
