c. mare di stabia,Caresana
c.mare di stabia,Caresana
c.mmare di stabia,Castellammare di Stabia
campo lattaro,Campolattaro
capaccio,Calascio
casalvelino,Casal Velino
casetel san giorgio,Castel San Giorgio
casolla  fraz. di  caserta,Calalzo di Cadore
castel franci,Castelfranci
castel pagano,Castelpagano
castel venere,Castelvenere
cava dei tirreni,Cava de' Tirreni
cava dè tirreni,Cava de' Tirreni
fontana rosa,Fontanarosa
fratta maggiore,Frattamaggiore
fratta minore,Frattaminore
gricignano d'aversa,Gricignano di Aversa
grotta minarda,Grottaminarda
guardia sanfra mondi,Guardia Sanframondi
mariglia nella,Mariglianella
monte calvo irpino,Montecalvo Irpino
monte corvino rovella,Montecorvino Rovella
monte fredane,Montefredane
monte miletto,Montemiletto
monte sarchio,Montesarchio
poggio marino,Poggiomarino
ponte cagnano faiano,Pontecagnano Faiano
ponte landolfo,Pontelandolfo
portico,Portici
rocca bascerana,Roccabascerana
rocca piemonte,Roccapiemonte
s. egidio del monte albino,Sant'Egidio del Monte Albino
s. marco evangelista,San Marco Evangelista
s. maria c.v.,Maniace
s.cipriano d'aversa,San Cipriano d'Aversa
s.giorgio a cremano,San Giorgio a Cremano
s.maria c.v.,Maniace
s.maria capua vetere,Santa Maria Capua Vetere
san nicola  la strada,San Nicola la Strada
sant'angelo dei lomardi,Sant'Angelo dei Lombardi
santa maria la carita',Santa Maria la Carità
valle saccarda,Vallesaccarda
